#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
40,"Chunks","Phlake",34,88,"danish pop, scandinavian r&b","Pop, R&B","Weird Invitations",2017-10-06,03:31,66,57,29,0,48,20,10,-7,C♯/D♭ Minor,4,2024-08-25,3lFCbvyrJ7soEgTjIkELMT,"Sony Music Entertainment",12A,DKADG1700183
41,"68","Louis Futon",28,94,"future bass, vapor twitch","Electronic","Way Back When",2019-02-22,02:54,62,74,44,0,23,10,60,-5,F Minor,4,2024-08-25,6IuLiHUhil1h1hpXYULh3s,"Louis Futon",4A,USA2P1886133
42,"Times Square","Neon Dreams",34,94,"canadian pop","Pop","Times Square",2020-12-11,03:18,48,37,92,0,36,10,10,-9,D#/E♭ Major,4,2024-08-25,59r0BoIgI2yE4fQj4m9PTa,"Dreaming Out Loud",5B,CAEAZ1700044
43,"Blinding Lights","Loi",60,73,"","","Blinding Lights",2021-09-17,02:27,49,18,92,0,54,0,10,-11,A#/B♭ Minor,3,2024-08-25,0cQJGoRki2avKVodXEmr0d,"VOLKSMUSIC/WM Germany",3A,DEA622100968
44,"I See Fire","Ed Sheeran",58,76,"pop, singer-songwriter pop, uk pop","Pop","The Hobbit: The Desolation of Smaug (Original Motion Picture Soundtrack)",2013-12-10,05:00,63,5,56,0,20,0,10,-21,A#/B♭ Minor,4,2024-08-25,1fu5IQSRgPxJL2OTP7FVLW,"WaterTower Music",3A,USNLR1300728
45,"Josephine","RITUAL,Lisa Hannigan",44,174,"indie electropop, vapor soul, irish rock, irish singer-songwriter","Pop, Rock, Folk/Acoustic, R&B","From The City To The Wilderness",2015-11-06,04:05,64,43,47,4,8,0,10,-8,E Minor,4,2024-08-25,2V5vmvIwxqVizuaYJgrmlE,"Universal-Island Records Ltd.",9A,GBKPL1514511
46,"Gone","Phlake,Alina Baraz",37,140,"danish pop, scandinavian r&b, etherpop","Pop, R&B","Weird Invitations",2017-10-06,03:34,51,25,95,0,19,0,10,-10,F Minor,3,2024-08-25,1bTznoPGxp3ygLTHReQtIh,"Sony Music Entertainment",4A,DKADG1700264
47,"Secret","Maroon 5",50,88,"pop","Pop","Songs About Jane",2002-06-25,04:55,42,44,26,0,15,0,10,-8,F Major,4,2024-08-25,64i1dyG9Td5z5Q0TCG17Pb,"Interscope Records*",7B,USJAY0300087
48,"I Know Why","Marian Hill",24,162,"electropop","Pop","ACT ONE (The Complete Collection)",2016-06-20,04:07,70,36,66,2,14,10,10,-13,A#/B♭ Major,4,2024-08-25,1eCVuTjmSxGaIviqis69iJ,"Photo Finish / Republic Records",6B,USUM71602600
49,"Higher Love (feat. Grace Grundy) - Acoustic Mix","Charming Horses,Grace Grundy",33,99,"deep tropical house, german dance, channel pop, viral pop","Pop, Electronic","Higher Love (feat. Grace Grundy) [Acoustic Mix]",2016-10-14,02:38,48,16,95,0,22,0,10,-10,D#/E♭ Major,3,2024-08-26,58TkTrSQarID5TRsBTubvG,"NITRON music",5B,DEBL31602862
50,"Aliens Need Love Too","Phlake,Mercedes the Virus",28,108,"danish pop, scandinavian r&b, ","Pop, R&B","The Illegal Download Of Your Soul",2020-05-15,04:14,58,43,70,0,28,0,10,-6,G#/A♭ Minor,3,2024-08-25,23OQAJVJ0VqXYqveHZRUyv,"Phlake Mansion",1A,DK4YA2007802
51,"Be There Soon","Elderbrook",24,97,"uk dance","Electronic","Travel Slow",2015-08-21,03:25,87,38,47,59,61,0,10,-13,C♯/D♭ Minor,4,2024-08-25,7fbB70umrxlRbbh0mYCAHG,"Black Butter Records",12A,GBMKA1486411
52,"simple","Matt Sato",11,90,"boy pop, social media pop","Pop","better days",2020-01-03,02:18,70,35,73,0,40,10,20,-12,C Major,4,2024-08-25,1npAyVOEE3PmHHWQjFdnfB,"Brat Records",8B,TCAEO1956090
53,"I Took a Pill in Ibiza","ROOKIES",16,172,"deep tropical house","Electronic","I Took a Pill in Ibiza",2016-03-21,02:24,51,42,41,0,26,0,30,-11,A#/B♭ Minor,4,2024-08-25,39c12UsOBWv6LVfWhHIMAI,"Rookie Sweat",3A,TCACN1614270
54,"Slow Fade","Ruth B.",48,80,"alt z, canadian contemporary r&b, canadian pop, pop","Pop, R&B","Maybe I'll Find You Again",2019-03-22,03:31,73,31,77,0,39,0,0,-10,D Major,4,2024-08-25,3wnUCt4sWnK0C0XGQGHKo7,"BMG Rights Management (US) LLC",10B,USSM11807663
55,"Worry","Jack Garratt",45,90,"uk alternative pop","Pop","Phase (Deluxe)",2016-02-19,04:02,59,49,17,0,34,20,50,-10,A Minor,4,2024-08-25,5mLcaGVV89H58FWJ677E6K,"Universal-Island Records Ltd.",8A,QMFMG1471602
56,"The Mates of Soul (Remastered)","Taylor John Williams",58,95,"deep talent show","Country","Song Of A Dead Man",2015-08-10,03:59,79,30,64,0,21,0,0,-9,A Minor,4,2024-08-25,2gyD68GxciTVHPkJHlGDrc,"Independent",8A,TCACH1559664
57,"Little Bit of You","Kevin Garrett",37,90,"nyc pop, pittsburgh indie","Pop, Rock","False Hope",2017-03-02,04:33,65,33,59,9,26,10,0,-11,F#/G♭ Major,4,2024-08-25,6vb40FRWv3PNK7eqBHXUFz,"Kevin Garrett",2B,USCGH1734569
58,"Be Your Man","Rhys Lewis",37,170,"uk pop","Pop","Be Your Man",2019-10-25,04:00,52,53,22,0,48,0,10,-7,A Minor,4,2024-08-25,5rWjy4ys7LdinaFKZQBlZh,"Decca (UMO)",8A,GBUM71905126
59,"What Was I Made For? [From The Motion Picture  Barbie ]","Billie Eilish",86,79,"art pop, pop","Pop","What Was I Made For? [From The Motion Picture  Barbie ]",2023-07-13,03:42,39,8,95,0,11,0,10,-18,C Major,4,2024-08-25,6wf7Yu7cxBSPrRlWeSeK0Q,"Darkroom/Interscope Records",8B,USUM72307484
60,"On Our Knees (feat. R.O)","Konoba,R.O",47,87,"belgian pop","Pop","Smoke & Mirrors",2017-01-20,04:37,59,34,86,3,27,0,20,-10,C♯/D♭ Minor,4,2024-08-25,2HCgcgN4PA0xr2ZqtsBpPb,"Konoba",12A,BEDY11500005
61,"All Time Low","Chymes",35,93,"australian electropop","Pop","All Time Low",2017-08-24,02:39,49,33,87,0,34,0,0,-8,A Minor,4,2024-08-25,4y40cEZ06YpLK8E2QchrMG,"Nettwerk Music Group",8A,AUBEC1707571
