#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
118,"J'me tire","GIMS",65,95,"french hip hop, pop urbaine, r&b francais, rap conscient","Hip Hop, World/Traditional, Latin","Subliminal (La face cachée)",2013-12-02,04:09,75,68,1,0,43,0,10,-5,C♯/D♭ Minor,4,2024-04-22,4w47YE9rjhmZUdtZjSCb82,"Jive Epic",12A,FR7U61200105
119,"Comfortable (feat. Fana Hues)","THEY.,Fana Hues",23,91,"trap soul, alternative r&b, indie r&b","R&B","Comfortable (feat. Fana Hues)",2022-07-01,03:53,60,67,5,0,27,0,0,-5,A#/B♭ Minor,4,2024-04-22,0LtrtynSMHFy14nuc9knoM,"Nü Religion Records",3A,GBKPL2203508
120,"Leavin' Me","Artifakts",27,92,"glitch hop","Electronic","Lakeshore Drive",2019-12-08,01:55,78,51,6,0,72,0,30,-8,F#/G♭ Minor,4,2024-04-22,04P4rsAez8ya1mLwW7qzs4,"892914 Records DK",11A,QZK6Q1979562
121,"Greedy","Cupido",51,105,"chill house","Electronic","Greedy",2023-11-03,02:17,68,56,6,0,14,0,10,-9,E Minor,4,2024-04-22,3gQgbzajJJ3RAfvxZcK9OI,"Cupido",9A,IT2GN2300087
122,"Rather Be with You","Sinéad Harnett",42,110,"alternative r&b, gauze pop, uk contemporary r&b","R&B, Pop","Rather Be with You",2016-12-15,03:19,66,55,4,0,20,0,10,-7,B Minor,4,2024-04-22,2lPH8YSWdxo8SbJnYnZxUG,"Rinse",10A,GBQGW1600030
123,"Fire for You","Cannons",68,102,"chillwave","Rock","Shadows",2019-07-12,03:51,74,68,11,16,70,10,10,-7,F#/G♭ Minor,4,2024-04-22,4o0LyB69tylqDG6eTGhmig,"Columbia",11A,USSM12004811
124,"Window","Still Woozy",54,91,"bedroom pop, oakland indie, pov: indie","Pop, Rock","Window",2020-04-17,02:19,71,48,44,0,67,20,20,-9,E Minor,4,2024-04-22,3hARuUtzTdUuWH1KiLJlSf,"Still Woozy Productions Inc., under exclusive license to Interscope Records",9A,USUG12001158
125,"Keep You Waiting","Kevin Garrett",20,80,"nyc pop, pittsburgh indie","Pop, Rock","Made Up Lost Time",2020-02-21,03:31,58,66,30,0,61,10,10,-6,F Minor,4,2024-04-22,0omvS3ioeMGeg2fQdm89RQ,"KG Music, LLC",4A,GBKPL2081272
126,"Toxic","GIVVEN",34,112,"","","Toxic",2021-05-20,03:48,79,52,70,1,46,10,10,-9,A#/B♭ Minor,4,2024-04-22,3WCmNzbYmjBWzgh9cSDHqr,"Bias Beach Records",3A,ATFH82100601
127,"Overtime","Chris Brown",57,96,"r&b, rap","R&B, Hip Hop","Indigo (Extended)",2019-10-04,04:35,58,81,19,0,42,0,10,-5,C Major,4,2024-04-27,6hecXwh6EZHcl6rZyJftKQ,"Chris Brown Entertainment/RCA Records",8B,USRC11902742
128,"STRUT","EMELINE",23,108,"alt z","Pop","STRUT",2022-08-19,01:57,86,71,4,0,31,10,10,-6,B Minor,3,2024-04-27,0ifJ75RL8p3DfULqpzxtQW,"Capitol Records",10A,USUG12100401
129,"Who Could Say No","Olivia Lunny",24,104,"manitoba indie","Folk/Acoustic","Olivia Lunny",2021-07-09,02:00,68,74,28,0,60,0,20,-4,D Minor,4,2024-04-27,1xuwqJHuotPWz2lOHzyzLJ,"Infinity & Recordings Ltd.",7A,CAUM82100149
130,"W.I.T.C.H.","Devon Cole",63,122,"alt z, singer-songwriter pop","Pop","W.I.T.C.H.",2022-07-07,02:12,87,66,10,0,96,0,0,-4,G Major,4,2024-04-27,5XemvyG79fcKPl5lgbhplq,"Arista Records",9B,USAR12200342
131,"Space Ghost (Coast To Coast)","Glass Animals",26,101,"gauze pop, indietronica, modern rock, pov: indie, shiver pop","Pop, Rock","Dreamland (+ Bonus Levels 2.0)",2021-09-10,03:07,90,53,9,0,35,0,10,-10,G#/A♭ Major,4,2024-04-27,4ftVGM2WrmXLIWVFsY50D3,"Polydor Records",4B,GBUM72004827
132,"Magic","Rudy Mancuso,Maia Mitchell",39,94,"","","Magic",2018-03-02,03:14,80,59,40,15,27,0,10,-10,A Minor,4,2024-04-27,2DvgLLX2ByteZyFz8ByGX4,"Shots Studios Music",8A,QM24S1803129
133,"Ferris Wheel","Sylvan Esso",46,102,"art pop, chamber pop, etherpop, indie pop, indie rock, indietronica, shimmer pop","Pop, Rock","Free Love",2020-09-25,02:57,84,74,6,0,45,0,10,-5,A Minor,4,2024-04-27,0yiJNNm39cp1T7RnXOMVLX,"Loma Vista Recordings",8A,USC4R2003469
134,"SexyBack","Ilkan Gunuc,Clara Stegall",48,100,"turkish deep house, turkish edm, ","Electronic","SexyBack",2021-04-16,02:28,82,71,9,12,43,0,0,-9,B Minor,4,2024-04-27,18Yyp3ut7I9neYEfNXkhfB,"Lithuania HQ",10A,QM4TX2168138
135,"San Diego","BRDGS",29,101,"newfoundland indie","Folk/Acoustic","Ie+",2020-03-20,03:01,71,62,11,0,45,0,0,-8,A Major,4,2024-04-27,1DsKoAFVN9VMdQxRky35bH,"Vibe City Records",11B,QMEZE1986230
136,"Put Your Records On","Joseph Vincent",24,88,"viral pop","Pop","Put Your Records On",2024-01-24,02:29,78,12,92,0,68,0,10,-15,E Major,4,2024-05-01,5Nifxzbx8ZnQ3WqGJax6Ik,"Joseph Vincent",12B,QZPJ32333128
137,"Na Na Na","Now United",0,106,"","","Na Na Na",2019-12-20,03:05,92,62,26,0,46,0,10,-5,C♯/D♭ Major,4,2024-05-02,6iO2JKc25YwO27CoQIya3O,"XIX United LLC",3B,QZBQM1900019
138,"All Designer - Low Tempo Edit","HEDEGAARD,CANCUN?",25,110,"danish electronic, scandipop","Electronic, Pop","All Designer (Low Tempo Edit)",2021-07-02,03:25,78,68,8,31,34,0,10,-11,F#/G♭ Minor,4,2024-05-08,2CihjObBj14mAmybKh6upu,"One Seven Music",11A,DK4YA2138903
139,"Sax On The Beach","Party Pupils,MAX",0,116,"pop edm, singer-songwriter pop, teen pop, viral pop","Electronic, Pop","Neon From Now On",2020-05-15,03:57,75,71,5,0,91,0,40,-4,F Minor,4,2024-05-08,49zJunh4RNUrHY5IGZCDRo,"Dim Mak Records",4A,USDM31801802
140,"Ibiza","Tyga",13,100,"hip hop, pop rap, rap, southern hip hop, trap","Hip Hop","Ibiza",2020-06-26,03:00,82,44,0,0,21,0,0,-5,C♯/D♭ Major,4,2024-05-08,07azbMKDwrzMt7vAFaYcdg,"Columbia/Last Kings Records",3B,USQX92003232
141,"No Nah","Jor'dan Armstrong",13,100,"christian afrobeat, christian hip hop","World/Traditional, Hip Hop","52 Weeks of Summer",2015-03-31,03:52,76,67,2,0,64,0,20,-7,G#/A♭ Major,4,2024-05-08,0HuzFOajs0M126BCUJYN81,"Good Guys",4B,TCACE1555897
142,"Eyes Closed","Ed Sheeran",73,107,"pop, singer-songwriter pop, uk pop","Pop","- (Deluxe)",2023-05-05,03:14,78,53,30,0,39,0,10,-6,D Major,4,2024-05-08,3p7XQpdt8Dr6oMXSvRZ9bg,"Atlantic Records UK",10B,GBAHS2201304
143,"Feels This Good","Jon Mero,LÒNIS",44,107,"bossbeat","Pop","Feels This Good",2023-03-17,02:12,91,82,8,6,96,0,0,-5,A#/B♭ Minor,4,2024-05-08,14FHeL3ma1NPlSubNAiI61,"Lonis Music & Jon Mero Music",3A,QZES72335412
144,"Boyfriend","USHER",50,127,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary","Hip Hop, R&B, Pop","Boyfriend",2023-08-16,03:46,76,60,8,0,68,0,0,-7,G#/A♭ Major,4,2024-05-08,3hRG2nZPcYUN0VYohLBds1,"mega/gamma.",4B,QZQAY2356898
145,"Rodeo","Trinix",36,117,"bass trap, new french touch","Hip Hop, Electronic","Rodeo",2019-07-12,02:39,88,69,28,1,70,0,0,-6,G#/A♭ Minor,4,2024-05-08,6Rc6rfZ5ipL3jXRSjkkdKZ,"Armada Music",1A,FR9W11902941
146,"Pretty Girls Walk","Big Boss Vette",40,90,"trap queen","R&B","Pretty Girls Walk",2022-10-14,02:20,92,67,3,4,67,10,0,-7,A Major,4,2024-05-08,7Jf2T3hRIVRv7ia6pGR6sE,"Republic Records",11B,USUG12204698
147,"Holding On To Me","John Splithoff",32,109,"nyc pop","Pop","All In",2021-04-23,03:36,69,70,20,0,51,0,10,-6,G#/A♭ Major,4,2024-05-08,1RpNs9jaeMT2pGfhojBM8N,"Pleasant Lane Music",4B,USA2P2111428
148,"Blinding Lights","Revelries,Victoria Voss",62,100,"dutch edm, ","Electronic","Blinding Lights",2020-07-03,02:56,61,71,18,0,50,0,30,-7,D Minor,4,2024-05-08,0wI0S42Cg41DVGqIIVimTM,"Gahara",7A,SE6HN2076241
149,"Ain't No Sunshine","Lighthouse Family",53,168,"europop, new wave pop","Pop","Greatest Hits",2002-01-01,03:41,59,71,6,8,52,0,10,-8,F Minor,4,2024-05-10,435rQGMojc5C6xJbtjeynu,"Polydor Records",4A,GBAKW9900138
150,"Shine","Elaine",43,184,"afro r&b, afro soul, south african pop, south african r&b","R&B, Pop","Shine",2022-03-18,03:02,54,60,7,1,13,0,10,-8,G#/A♭ Major,4,2024-05-10,06TDTjD7efqsLwhXKv0bci,"Columbia",4B,USQX92105567
151,"Paint The Town Red","Doja Cat",53,100,"dance pop, pop","Pop","Paint The Town Red",2023-08-03,03:51,84,56,26,0,75,20,10,-9,D Minor,4,2024-05-10,4dHRp03oxqJQfjGU8ECo7v,"Kemosabe Records/RCA Records",7A,USRC12301713
152,"Dance for You","Revel Day",30,95,"","","Paper Love",2020-12-11,03:35,76,55,32,0,55,10,0,-7,C♯/D♭ Major,4,2024-05-14,3pImrWV7w8BAaGs0Jet4AM,"Epidemic Sound",3B,SE5Q52000502
153,"La vie - A COLORS SHOW","Ichon",42,111,"cloud rap francais","","La vie - A COLORS SHOW",2021-01-07,03:49,86,41,26,0,90,0,0,-11,D#/E♭ Minor,4,2024-05-14,6Xuz1r6GgUXgYZPn8XEFAV,"COLORSxSTUDIOS",2A,DEXC82100002
154,"Calm Down","G-Eazy",55,102,"indie pop rap, oakland hip hop, pop rap, rap","Hip Hop","When It's Dark Out",2015-12-04,02:07,54,62,0,0,41,30,10,-9,B Major,4,2024-05-15,7xq3uN2toVZ8IbNzfTucyJ,"BPG/RVG/RCA Records",1B,USRC11502868
155,"You Know You Like It","DJ Snake,AlunaGeorge",70,196,"dance pop, edm, electronic trap, pop, pop dance, electropop, house, uk dance","Pop, Electronic, Hip Hop","You Know You Like It",2014-10-14,04:07,41,73,1,0,25,10,30,-5,F Minor,4,2024-05-15,57kR5SniQIbsbVoIjjOUDa,"Universal-Island Records Ltd.",4A,USUM71414293
156,"You Can't Hurry Love","MaKenzie",41,93,"deep talent show","Country","You Can't Hurry Love",2021-01-08,03:19,52,65,54,0,75,30,0,-8,A#/B♭ Major,4,2024-05-18,4JKhvCVJjDqMTGx0NxNcS3,"FRTYFVE",6B,UK6KW2000252
157,"All Tinted","Wolftyla",0,97,"trap queen","R&B","All Tinted",2019-08-06,03:17,83,32,23,0,27,0,10,-11,G#/A♭ Minor,4,2024-05-19,3ZS6nAQHjvHezX2ncHma2s,"Wolftyla",1A,TCAEJ1937576
158,"Boyfriend","Selena Gomez",49,92,"pop, post-teen pop","Pop","Rare (Deluxe)",2020-04-09,02:41,81,51,21,3,34,10,0,-6,D Major,4,2024-06-02,5EBtY2shIV1vmY4bnvvV6T,"Interscope Records",10B,USUM72002989
159,"Dive with you (feat. eaJ)","Seori,eaJ",2,94,"korean r&b, bedroom r&b","R&B","Dive with you (feat. eaJ)",2021-08-22,03:38,72,68,11,0,54,10,0,-6,C Major,4,2024-06-03,5RqwjQWDwxQ3HTkOfXTrS6,"ATISPAUS/88rising Music",8B,KRMIM2130873
160,"Waves (feat. B.Reith) (feat. B. Reith)","Royal Tailor,B. Reith",15,100,"ccm, christian alternative rock, christian music, ","Pop, Rock","Waves (feat. B.Reith) (feat. B. Reith)",2014-10-21,03:15,69,54,67,0,57,0,10,-7,F Minor,4,2024-06-03,0aQ160b9fMWpTQ8erARx8M,"Essential Records",4A,USA5W1400248
161,"Soundgasm","Rema",60,100,"afrobeats, nigerian pop","R&B, Pop","Soundgasm",2021-06-10,03:24,81,53,12,0,69,0,0,-7,F#/G♭ Minor,4,2024-06-03,5c549LWiKCWGvcDsZwMN6v,"Mavin Records / Jonzing World",11A,NGA3B2114003
162,"Orange","CLAY",39,85,"modern indie pop","Pop","Orange",2018-11-09,03:32,55,60,24,0,31,10,0,-7,C Major,4,2024-06-03,6odHR845BaN8T4ykKfhCR8,"CLAY",8B,US23A1501019
