#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
44,"You Don't Know Me","Jax Jones,RAYE",59,124,"dance pop, edm, house, pop dance, uk dance, uk contemporary r&b, uk pop","Pop, Electronic, R&B","You Don't Know Me",2016-12-09,03:33,88,66,16,0,69,10,10,-6,B Minor,4,2024-10-23,1rFMYAZxBoAKSzXI54brMu,"Polydor Records",10A,GBUM71606456
45,"Fake","The Tech Thieves",61,170,"dark r&b","R&B","Fake",2018-08-03,02:21,66,43,39,0,55,0,10,-7,D#/E♭ Minor,4,2024-10-23,5d7P5eapBbN3gfce5ARfuh,"AntiFragile Music",2A,QZ8GX1700268
46,"Bad Romance","Berk & The Virtual Band",38,112,"bossa nova cover, jazz cover","Latin","Jazz Chill, Vol. 4",2012-00-00,04:58,71,56,38,0,63,0,20,-7,A Minor,4,2024-10-23,2s2m91pWPLt11THe0k8PxQ,"Blanco y Negro Music",8A,ES5051200595
47,"Paradise (feat. Benjamin Ingrosso)","Ofenbach,Benjamin Ingrosso",45,122,"pop dance, swedish pop","Electronic, Pop","Paradise (feat. Benjamin Ingrosso)",2018-08-24,02:34,76,80,5,0,96,0,0,-5,B Minor,4,2024-10-23,50SEeQXOJgaXPv2S0v7ded,"Elektra France",10A,FR9W11815334
48,"Chills (ft. Liza)","Mickey Valen,Joey Myron,Liza",33,91,"dark r&b","R&B","Chills",2022-05-11,02:17,54,73,14,1,36,0,10,-7,B Minor,4,2024-10-23,2koCmuvlEIoH3fE9vdsHlH,"CloudKid",10A,DEWO71700354
49,"Move Across the River","The Jaggerz",11,130,"","","The Walk",2014-06-01,04:15,67,72,1,6,64,0,20,-9,F Major,4,2024-10-23,4htPnycInXMzjyHEhII68I,"The Jaggerz",7B,QMA881400004
50,"Don't Let Go","Strong Asian Mothers",27,160,"","","Don't Let Go",2016-10-21,02:38,66,53,10,0,38,10,30,-8,E Minor,4,2024-10-23,222VjaQ6wUWhe3SnbNHJ2K,"Old Money Land Money Records",9A,GBKPL1672125
51,"First Floor Girl","The Love Dogs",11,127,"","","Live and On Fire",2004-01-01,04:37,67,58,26,0,70,10,60,-7,G Major,4,2024-10-23,54gJGqkto3ddqNUeS3gmcA,"T-Ray Records",9B,uscgh0569342
52,"L*** Is a Bad Word","Kiiara",42,84,"alt z, electropop","Pop","L*** Is a Bad Word",2018-10-26,02:26,69,76,14,3,24,20,0,-5,F Major,4,2024-10-23,3Kvce9qtIAmR4Axtq7mdGl,"Atlantic Records",7B,USAT21811505
53,"Blue, Blue World","Roomful Of Blues",7,127,"blues, electric blues, modern blues, piano blues","Blues","45 Live",2013-07-30,04:20,54,83,20,0,67,0,90,-5,B Minor,4,2024-10-23,4llQN7Okyb3rZTfwlt4c2t,"Alligator Records",10A,USARL1395511
54,"Sweat","Popa Chubby",20,86,"electric blues, modern blues","Blues","Booty And The Beast",1995-03-21,05:51,48,51,52,0,61,10,0,-9,E Minor,4,2024-10-23,3QQH3sINjCT91WavuMwn6S,"Okeh/550 Music",9A,USSM19503887
55,"S&M","Rihanna",70,128,"barbadian pop, pop, urban contemporary","Pop, Hip Hop","Loud",2010-11-16,04:03,77,68,1,0,83,0,10,-5,C♯/D♭ Major,4,2024-10-23,0C4ejWmOTMv8vuYj85mf8m,"Def Jam Recordings",3B,USUM71026591
56,"Heartattack And Vine","Tom Waits",37,89,"folk, singer-songwriter","Folk/Acoustic","Heartattack And Vine (Remastered)",1980-09-09,04:50,77,34,36,0,60,20,0,-13,C Major,4,2024-10-23,0QSKHotmsalrgUN2eebQEU,"Anti/Epitaph",8B,USEP41718509
57,"Undress Rehearsal","Timeflies",51,123,"indie pop rap","Hip Hop","Just For Fun (Deluxe)",2015-09-18,03:34,95,65,0,0,73,0,0,-4,B Minor,4,2024-10-23,1aPqexHVW20OTamBHdWWVL,"Island Records",10A,USUM71510020
58,"Fifth of Whiskey, Case of the Blues","Mike Griffin,Unknown Blues Band",19,83,"","","Gimmie What I Got Comin'",1993-08-25,04:42,80,23,18,6,27,0,0,-11,B Minor,4,2024-10-23,42RDPyJtbXMXTrWmQnu8z5,"Waldoxy Records",10A,USWR50428205
59,"Scream & Shout","will.i.am,Britney Spears",76,130,"dance pop, pop","Pop","#willpower",2013-01-01,04:43,77,69,2,0,50,0,10,-7,F Major,4,2024-10-23,2iJuuzV8P9Yz0VSurttIV5,"Interscope",7B,USUM71215597
60,"Whisper","Able Heart",50,100,"","","Whisper",2021-08-14,02:45,75,81,8,0,63,0,0,-5,G Major,4,2024-10-23,7uuuKpUzXHvpBkEJQkTVpO,"Duetti",9B,QZK6M2157943
