#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
11,"Unholy (feat. Kim Petras)","Sam Smith,Kim Petras",77,131,"pop, uk pop, alt z, dance pop, transpop","Pop","Unholy (feat. Kim Petras)",2022-09-22,02:36,72,45,1,0,22,0,30,-7,D Major,4,2024-10-23,3nqQXoyQOWXiESFLlDF1hG,"Capitol Records UK / EMI",10B,GBUM72205415
12,"I Put a Spell On You","Screamin' Jay Hawkins",60,174,"","","At Home with Screamin' Jay Hawkins",1958-00-00,02:24,73,40,59,3,90,0,0,-12,A#/B♭ Minor,3,2024-10-23,3sLhMSePzxSrmxluIqeoAZ,"Epic/Legacy",3A,USSM10005633
13,"bad guy","Billie Eilish",81,135,"art pop, pop","Pop","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,03:14,70,43,33,13,56,30,10,-11,G Major,4,2024-10-23,2Fxmhks0bxGSBdJ92vM42m,"Darkroom/Interscope Records",9B,USUM71900764
14,"Dark Horse","Katy Perry,Juicy J",79,132,"pop, crunk, memphis hip hop, pop rap, rap, southern hip hop, trap","Hip Hop, Pop","PRISM",2013-01-01,03:35,65,59,0,0,35,0,10,-6,F#/G♭ Major,4,2024-10-23,4jbmgIyjGoXjY01XxatOx6,"Capitol Records (CAP)",2B,USUM71311296
15,"THE DINER","Billie Eilish",79,125,"art pop, pop","Pop","HIT ME HARD AND SOFT",2024-05-17,03:06,86,39,24,9,66,10,10,-10,C♯/D♭ Major,4,2024-10-23,1LLUoftvmTjVNBHZoQyveF,"Darkroom/Interscope Records",3B,USUM72401989
16,"Superstition - Single Version","Stevie Wonder",73,100,"motown, soul","R&B","The Definitive Collection",2002-10-29,04:05,63,63,4,1,87,0,0,-12,G#/A♭ Major,4,2024-10-23,1h2xVEoJORqrg71HocgqXd,"UNI/MOTOWN",4B,USMO10000310
17,"Bones","Imagine Dragons",82,114,"modern rock, pop, rock","Rock, Pop","Mercury - Acts 1 & 2",2022-07-01,02:45,77,75,2,0,59,0,0,-4,F Minor,4,2024-10-23,54ipXppHLA8U4yqpOFTUhr,"Kid Ina Korner / Interscope",4A,USUM72201759
18,"Die For You","The Weeknd",84,134,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","Starboy",2016-11-24,04:20,59,53,11,0,51,0,10,-7,C♯/D♭ Minor,4,2024-10-23,2LBqCSwhJGcFQeTHMVGwy3,"Universal Republic Records",12A,USUG11600995
19,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne,Wiz Khalifa,Imagine Dragons,X Ambassadors,Logic,Ty Dolla $ign",60,169,"hip hop, new orleans rap, pop rap, rap, trap, pittsburgh rap, southern hip hop, modern rock, pop, rock, modern alternative rock, stomp pop, conscious hip hop, r&b, trap soul","Hip Hop, Rock, Pop, R&B","Suicide Squad: The Album",2016-08-05,04:03,50,79,26,0,74,30,60,-4,A Minor,4,2024-10-23,7qUJQSNX9QNf46CC6FgH66,"Atlantic Records",8A,USAT21601893
20,"W.I.T.C.H.","Devon Cole",63,122,"alt z, singer-songwriter pop","Pop","W.I.T.C.H.",2022-07-07,02:12,87,66,10,0,96,0,0,-4,G Major,4,2024-10-23,5XemvyG79fcKPl5lgbhplq,"Arista Records",9B,USAR12200342
21,"Men In Black - From  Men In Black  Soundtrack","Will Smith",63,108,"hip hop, pop rap","Hip Hop","Big Willie Style",1997-10-03,03:47,80,58,10,0,66,0,10,-8,F Minor,4,2024-10-23,2FK7fxjzQEXD7Z32HSF0Hl,"Columbia",4A,USSM19700762
22,"Dark Side","Bishop Briggs",54,138,"modern alternative rock","Rock","Bishop Briggs",2017-04-14,03:28,71,55,61,0,13,0,0,-6,A Major,4,2024-10-23,6FFrva3VXMwabDvuHkX4ZU,"Teleport Records / Island Records",11B,QM7G91600088
23,"I Feel Like I'm Drowning","Two Feet",76,105,"indie poptimism, modern rock","Pop, Rock","A 20 Something Fuck",2018-10-05,03:05,72,58,71,0,24,0,0,-5,G#/A♭ Major,3,2024-10-23,3aauaXWRgwCMoykMbI0Jq1,"Republic Records",4B,USUM71709320
24,"Nightmare","Halsey",55,146,"electropop, etherpop, indie poptimism, pop","Pop","If I Can’t Have Love, I Want Power (Extended)",2022-01-03,03:51,61,62,2,0,54,0,30,-5,A Minor,4,2024-10-23,12ZCF1YHZTtygHyl1h0wEe,"Capitol Records",8A,USUM71907487
25,"Panic Room","Au/Ra",67,98,"alt z, deep pop edm","Pop, Electronic","Panic Room",2018-02-09,03:57,50,43,15,0,6,0,10,-9,G#/A♭ Major,4,2024-10-23,7uUahoeqGNRMbpdeiLj1rS,"RCA Records Label",4B,GBARL1702250
26,"Monsters","Ruelle",55,85,"metropopolis","Electronic","Monsters (Acoustic Version)",2017-06-16,03:20,70,47,41,0,50,0,0,-8,A Major,4,2024-10-23,5nEilWBes69DddmknTqJ1x,"Craft Recordings",11B,QMF921550171
27,"Bury Me Face Down","grandson",53,142,"modern alternative rock, modern rock, pov: indie, rock","Rock, Pop","Bury Me Face Down",2016-12-16,03:51,39,63,2,0,16,0,0,-5,C♯/D♭ Minor,4,2024-10-23,0LSzBkkQZZkwV656r6etLg,"Latium Records/RCA Records/Sony Music",12A,USRC11601782
28,"Trick Or Treat","Lenny B,Odd Panda",36,150,"lo-fi study","","Trick Or Treat",2023-10-06,02:15,55,34,20,93,32,0,0,-8,D#/E♭ Minor,4,2024-10-23,4P4khiiX6sJpoMhnqmyDCB,"Lofi Jazz Records",2A,QMANG2206405
