#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
52,"Cherry Lips","Vanotek,Mikayla",35,96,"romanian pop, ","Pop","Cherry Lips",2019-02-12,03:24,72,62,4,0,42,0,10,-6,A Minor,4,2024-10-06,6ZN5w4PipRom7jHTxxr1yG,"Global Records",8A,ROGRA1900551
53,"Come On Over","Pretty Sister",38,96,"la pop","Pop","Come On Over",2019-06-21,03:25,72,53,6,0,69,0,10,-6,F Minor,4,2024-10-06,4zO5Fq3Xti0cdACFN5BFL2,"Pretty Sister",4A,QMEZE1949736
54,"Always On Time","Ja Rule,Ashanti",72,97,"dance pop, east coast hip hop, gangster rap, hip hop, hip pop, pop rap, queens hip hop, rap, urban contemporary, r&b","Pop, Hip Hop, R&B","Pain Is Love",2001-10-02,04:05,84,71,20,0,84,20,30,-6,F Minor,4,2024-10-06,2hNf1rawV2XAZ6Jld2Fxwf,"Def Jam Recordings",4A,USDJ20110760
55,"Cool (feat. Marc E. Bassy, Gucci Mane)","Felix Jaehn,Marc E. Bassy,Gucci Mane",38,95,"edm, german dance, pop dance, tropical house, uk dance, indie pop rap, atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap","Hip Hop, Electronic","I",2018-02-16,03:10,62,75,6,0,31,10,0,-6,D Major,4,2024-10-06,3Ij7tqW9jVJ41dG06MZkFU,"Virgin",10B,DEUM71723039
56,"Money","Mat Kearney",43,94,"acoustic pop, neo mellow","Pop, Folk/Acoustic","CRAZYTALK",2018-05-04,02:29,74,62,71,0,76,0,10,-5,C♯/D♭ Minor,4,2024-10-06,7zb2TzZwpXuBJutFIqS6lA,"Tomorrow Music",12A,QZ22S1700049
57,"Five Minutes","Her",50,100,"french indie pop, french indietronica, rennes indie","Pop, Electronic, New age","Her",2018-03-30,03:48,61,56,42,0,45,0,10,-7,A#/B♭ Minor,4,2024-10-06,7LqT7LqKsCh6epYR9UdAlP,"Universal Music Division Virgin Music",3A,FR9W11505356
58,"Love To Lose","Sandro Cavazza,Georgia Ku",54,196,"swedish pop, uk pop","Pop","Love To Lose",2021-02-19,02:57,60,74,5,0,71,10,20,-6,C Major,4,2024-10-06,11lFSEnkj3810ojPLj53RO,"Universal Music AB",8B,SEUM72100080
59,"scorton's creek - re-imagined by filous","Isaac Dunbar,filous",43,100,"alt z, modern indie pop, deep tropical house, tropical house","Pop, Electronic","scorton's creek (re-imagined by filous)",2020-06-12,02:59,80,55,22,0,70,10,10,-8,E Minor,4,2024-10-06,5uSwYU4V1hFDZYEHF87RmK,"RCA Records Label",9A,USRC12001960
60,"Vices","John Splithoff",25,100,"nyc pop","Pop","Make It Happen (Deluxe Edition)",2018-11-09,03:16,72,64,37,0,43,10,20,-5,A Minor,4,2024-10-06,1dtdvVAfM4i4GrRHpvSGYv,"East West Records LLC",8A,US39N1800133
61,"Hush Hush","NOVUM",50,117,"chill house","Electronic","Hush Hush",2021-08-06,02:15,73,38,28,11,64,0,10,-15,C♯/D♭ Minor,4,2024-10-06,2Yg1eqr6bPvH77baHLQRE7,"We Are Diamond",12A,DEYT72100549
62,"So Simple","Marc E. Bassy,G-Eazy",30,92,"indie pop rap, oakland hip hop, pop rap, rap","Hip Hop","Gossip Columns",2017-10-13,03:38,73,58,24,0,39,40,40,-7,E Minor,4,2024-10-06,3okdJc9o2k1Bj5OnYOJTga,"Republic Records/Gee Roberson",9A,USUM71710699
63,"boyfriend (with Social House)","Ariana Grande,Social House",77,190,"pop, ","Pop","boyfriend",2019-08-02,03:06,40,80,12,0,70,40,10,-4,A#/B♭ Minor,4,2024-10-06,0Ryd8975WihbObpp5cPW1t,"Republic Records",3A,USUG11902591
64,"I Like Me Better","Lauv",79,92,"pop","Pop","I met you when I was 18. (the playlist)",2018-05-31,03:17,75,51,53,0,42,20,10,-8,A Major,4,2024-10-06,0EcQcdcbQeVJn9fknj44Be,"Lauv",11B,GBWWP1702907
65,"Karma","Taylor Swift",50,90,"pop","Pop","Midnights (3am Edition)",2022-10-21,03:24,64,62,8,0,11,0,50,-7,G#/A♭ Major,4,2024-10-06,5GjkD2Xujig8TPty57wfsS,"Taylor Swift",4B,USUG12205729
