#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
32,"Walk Away - Extended Mix","Ben Ambergen,Brieuc",0,126,"big room, belgian edm","Electronic","Walk Away",2020-05-01,03:13,79,85,0,6,71,0,10,-6,F Minor,4,2022-04-26,0X1BYRMAdJs80163umkhY2,"Fanfare Records",4A,DEWW42000135
33,"Make It Right","Hreez,Nic Toms,Brieuc",0,124,"belgian edm","Electronic","Make It Right",2020-04-24,03:00,64,90,9,0,29,10,40,-5,E Minor,4,2022-04-26,3UsyNbz96oRh74xj2wzPHe,"Revealed Radar",9A,NLQ8D2000129
34,"Make It Right - Extended Mix","Hreez,Nic Toms,Brieuc",0,124,"belgian edm","Electronic","Make It Right",2020-04-24,03:59,67,77,4,0,41,20,0,-6,E Minor,4,2022-04-26,1G2Tk8J8ulmvh5kAxbBsjh,"Revealed Radar",9A,NLQ8D2000128
35,"Lose Control","Jenil,Marnage,Brieuc",6,128,"pinoy edm, belgian edm","Electronic","Lose Control",2020-04-01,02:24,73,87,2,81,43,10,10,-5,C Major,4,2022-04-26,0VnXGQG8vA8GTor94kY59r,"Darklight Recordings",8B,NLG3N2000027
36,"Don't Walk Away","Tim Lights,Brieuc",0,126,"belgian edm","Electronic","Don't Walk Away",2020-02-13,02:11,68,92,2,17,31,20,0,-3,F Minor,4,2022-04-26,2qTWZyZdcPIQd8ww5PEX9b,"Big & Dirty Recordings",4A,NLE801900719
37,"Don't Walk Away - Extended Mix","Tim Lights,Brieuc",0,126,"belgian edm","Electronic","Don't Walk Away",2020-02-13,03:10,85,83,0,21,56,20,0,-4,C♯/D♭ Major,4,2022-04-26,6s16mPYhCwgQsXvRHwHDwe,"Big & Dirty Recordings",3B,NLE801900720
38,"Leaving - Radio Edit","Brieuc",1,125,"belgian edm","Electronic","Leaving (Radio Edit)",2020-01-24,03:28,46,75,0,0,12,0,70,-5,G Major,4,2022-04-26,2Q3xZLZ3HeOTAo50D8aBJ0,"Generation Smash",9B,BEIW11900024
39,"Into The Sky","Nicson,Brieuc,Britt",8,128,"belgian edm, covertronica","Electronic","Into The Sky",2020-01-13,04:26,50,79,0,0,13,0,40,-6,A#/B♭ Major,4,2022-04-26,1HTEuG4qgJoEizL103ttiF,"Ensis Records",6B,GBLV61928457
40,"Nightclub - Radio Edit","Brieuc",5,124,"belgian edm","Electronic","Nightclub",2019-12-13,02:36,79,90,0,0,76,0,0,-7,G Major,4,2022-04-26,4VERQ9NPOEoVZ18FoH8zvb,"Shomi",9B,BEN581900929
41,"Nightclub - Extended Mix","Brieuc",1,124,"belgian edm","Electronic","Nightclub",2019-12-13,04:41,79,96,0,6,58,0,10,-6,D Major,4,2022-04-26,2xgESjkdfwZLSoqeVjlOUh,"Shomi",10B,BEN581900930
42,"Sweat","Brieuc",0,126,"belgian edm","Electronic","Sweat",2019-11-29,02:55,56,80,0,0,38,30,30,-8,A#/B♭ Minor,4,2022-04-26,0EgCo9T0d2CooP9dtLxjCF,"Generation Smash",3A,BEIW11900020
43,"Closer","Brieuc,Gregor Potter,David Shane",0,109,"belgian edm, ","Electronic","Closer",2019-11-22,02:37,54,65,16,0,18,0,10,-6,E Minor,4,2022-04-26,5F1FoGFmS6MrsTvyencUHd,"Enhanced Recordings",9A,GBLV61912980
44,"Time","Brieuc,Gregor Potter",0,125,"belgian edm","Electronic","Time",2019-11-01,03:25,61,84,1,25,30,0,30,-6,F Major,4,2022-04-26,1admfyWHefYAHbwjKdro8b,"Gemstone Records",7B,NLQ8D1900574
45,"Hold Up","Ben Ambergen,Brieuc,Gregor Potter",0,125,"big room, belgian edm","Electronic","Hold Up",2019-09-27,02:22,74,89,11,38,61,10,30,-4,B Minor,4,2022-04-26,57xZ3S1dMX3Fp7ZgSL82ZF,"Break It Down Music",10A,USANG1900431
46,"Chronic","Milan Tavares,Brieuc,Gregor Potter",0,126,"belgian edm","Electronic","Chronic",2019-09-26,02:41,62,86,3,1,25,10,10,-5,C♯/D♭ Major,4,2022-04-26,0pYJCXlKz5HYzAS78AdnS1,"TurnItUp Muzik",3B,NLD681902893
47,"Solid","MiDL Fing3R,Brieuc,Gregor Potter",0,126,"belgian edm","Electronic","Solid",2019-08-09,03:33,66,91,0,38,30,0,30,-3,F Minor,4,2022-04-26,7iEp0WERXV3HDQenrxdu8Q,"Generation Smash",4A,BEK011900503
48,"Dive","Brieuc,Gregor Potter,Maline",0,100,"belgian edm, ","Electronic","Dive",2019-06-14,03:22,65,64,3,0,40,0,30,-8,G#/A♭ Minor,4,2022-04-26,0VsdEdGDcbVRUwFVpjYrNA,"Enhanced Recordings",1A,GBKQU1949544
49,"Young","Brieuc,Gregor Potter",0,125,"belgian edm","Electronic","Young",2019-05-10,03:19,72,80,23,5,24,0,0,-5,C Minor,4,2022-04-26,3KMDtJoNUzvg2U0rKm9JtW,"Gemstone Records",5A,NLQ8D1900270
50,"Young - Extended Mix","Brieuc,Gregor Potter",0,125,"belgian edm","Electronic","Young",2019-05-10,04:11,73,83,3,15,28,0,0,-5,G#/A♭ Major,4,2022-04-26,1C3BFBFzr1fHfpLllnfTsj,"Gemstone Records",4B,NLQ8D1900269
51,"Explode","Brieuc,Gregor Potter",14,125,"belgian edm","Electronic","Explode",2019-04-08,02:57,54,95,0,23,22,10,10,-6,A#/B♭ Minor,4,2022-04-26,5aSMYZlea2p6iDprzIvUcJ,"Doorn Records",3A,NLWV71900009
52,"Where Is My Love - Brieuc & Gregor Potter Remix","OT,Brieuc,Gregor Potter",0,121,"belgian edm","Electronic","Where Is My Love (Brieuc & Gregor Potter Remix)",2018-11-09,03:00,77,71,0,16,23,0,10,-6,G Major,4,2022-04-26,4s8fTFdvU28p0Qk1s8hlqj,"FruityLabel",9B,BEC431800019
53,"Paradise","Gregor Potter,Brieuc",18,125,"belgian edm","Electronic","Paradise",2018-07-06,03:04,65,76,1,3,23,0,0,-6,C Minor,4,2022-04-26,1F1Y3nTym1RjLDGZUx86RV,"Enhanced Recordings",5A,GBKQU1862356
54,"Feeling - Radio Edit","Brieuc,Gregor Potter",0,126,"belgian edm","Electronic","Feeling",2018-06-08,03:44,69,81,3,0,43,0,0,-4,D Minor,4,2022-04-26,4HFr4NMLYDyTEsZLsQ7ovg,"Big Beef",7A,DEPX11800010
55,"Feeling - Extended Mix","Brieuc,Gregor Potter",0,126,"belgian edm","Electronic","Feeling",2018-06-08,04:43,71,64,2,0,42,0,10,-4,D Minor,4,2022-04-26,0VWuexo17abH8SehAw5o5k,"Big Beef",7A,DEPX11800011
56,"Fire - Original Mix","Brieuc,Gregor Potter",0,111,"belgian edm","Electronic","Fire",2017-10-13,03:53,82,46,9,2,35,0,0,-7,D Minor,4,2022-04-26,0zmT4mUO9zEYQW0hhhNU8R,"RUN DBN Records",7A,DEPY31700692
57,"Fire - Radio Edit","Brieuc,Gregor Potter",0,111,"belgian edm","Electronic","Fire",2017-10-13,03:10,77,65,24,2,23,0,10,-7,D Minor,4,2022-04-26,41lTPXHfDOHayc3WsoYm0d,"RUN DBN Records",7A,DEPY31700693
58,"If You Wanna Be - Extended Mix","Gregor Potter,Brieuc",0,125,"belgian edm","Electronic","If You Wanna Be",2017-05-02,04:25,80,69,1,14,89,0,0,-6,F#/G♭ Minor,4,2022-04-26,0TZdioRtfz5FNdWMTLw4kc,"Ensis Deep",11A,GBKQU1735881
59,"If You Wanna Be - Radio Edit","Gregor Potter,Brieuc",6,125,"belgian edm","Electronic","If You Wanna Be",2017-05-02,02:59,69,84,8,2,53,0,10,-4,F#/G♭ Minor,4,2022-04-26,1qzcdRaJ7XSZGzGPUQ44ac,"Ensis Deep",11A,GBKQU1735882
60,"Chemical Face","Else",22,95,"new french touch","Electronic","Mirage",2016-01-25,04:02,74,56,13,76,23,0,10,-10,E Minor,4,2022-04-26,5K4gb9U9plXoFzQN1bvazq,"L’ordre Music",9A,FR9W11600523
61,"1979","Else",21,112,"new french touch","Electronic","Mirage",2016-01-25,04:10,80,64,0,27,26,0,0,-6,A#/B♭ Minor,4,2022-04-26,551p1fP1KDTILER7rCcqYv,"L’ordre Music",3A,FR9W11600524
