Track Name,Artist Name(s),Index,Starting energy,Ending energy,BPM,Genres,Acousticness,Difficulty,Familiarity,Transition type,Notes,Set,DJ
Bonafide (feat. Chiiild),"Emotional Oranges,Chiiild","Bonafide (feat. Chiiild).Emotional Oranges,Chiiild",2,3,98,R&B,0.5,1,3,Rising,,2024-10-17,Connie Wang
How Deep Is Your Love (feat. Yebba) - Live,"PJ Morton,Yebba","How Deep Is Your Love (feat. Yebba) - Live.PJ Morton,Yebba",3,3,93,"Oldies, Covers",0.9,1,4,None,Fade out early,2024-10-17,Connie Wang
BILLIE EILISH.,Armani White,BILLIE EILISH..Armani White,3,4,100,Angry Cali Late Nite,0.4,2,4,Rising,"Clean version, very short",2024-10-17,Connie Wang
Na Na Na,Now United,Na Na Na.Now United,3,3,106,Pop,0.4,1,3,None,,2024-10-17,Connie Wang
Lazy,Toby Lightman,Lazy.Toby Lightman,3,2,105,Jazz blues,0.8,1,3,Falling,,2024-10-17,Connie Wang
Bound,Indiana,Bound.Indiana,2,2,90,Baddie pop,0.2,1,4,None,,2024-10-17,Connie Wang
Boo'd Up,William Singe,Boo'd Up.William Singe,2,3,86,"R&B, Singer Songwriter, Covers",0.7,2,4,Rising,End a few sec early,2024-10-17,Connie Wang
Selfish,Jordan Davis,Selfish.Jordan Davis,3,2,90,Country,0.8,1,3,Falling,,2024-10-17,Connie Wang
Wonderwall,TEEMID,Wonderwall.TEEMID,3,3,100,"Electropop, Covers",0.1,2,3,None,,2024-10-17,Connie Wang
So Hot You're Hurting My Feelings,Caroline Polachek,So Hot You're Hurting My Feelings.Caroline Polachek,3,4,112,Pop,0.4,2,3,Rising,,2024-10-17,Connie Wang
just the two of us,Avenue Beat,just the two of us.Avenue Beat,3,3,88,"Singer songwriter, Covers",0.6,1,3,None,,2024-07-07,Connie Wang
Pineapple Skies,Miguel,Pineapple Skies.Miguel,3,2,100,R&B,0.3,2,3,Falling,,2024-07-07,Connie Wang
Crush On You,Nic Hanson,Crush On You.Nic Hanson,2,2,90,Funk pop,0.4,1,4,None,,2024-07-07,Connie Wang
Genie in a Bottle,Oshri,Genie in a Bottle.Oshri,3,3,94,Covers,0.2,2,4,None,,2024-07-07,Connie Wang
Move On (C'est la vie),Faydee,Move On (C'est la vie).Faydee,4,4,101,Electropop,0.1,2,4,None,,2024-07-07,Connie Wang
Danger - Original Mix,Blahzay Blahzay,Danger - Original Mix.Blahzay Blahzay,3,3,90,"Hip hop, Oldies, Rap",0.8,1,2,None,Explicit,2024-07-07,Connie Wang
AFU,CAL,AFU.CAL,2,3,94,Pop,0.5,1,4,Rising,Explicit,2024-07-07,Connie Wang
False God,Taylor Swift,False God.Taylor Swift,2,2,80,Pop,0.4,1,4,None,,2024-07-07,Connie Wang
Little Bit - Recorded at Spotify Studios NYC,Timeflies,Little Bit - Recorded at Spotify Studios NYC.Timeflies,3,3,101,Singer songwriter,0.9,2,3,None,,2024-07-07,Connie Wang
Poison Poison,Reneé Rapp,Poison Poison.Reneé Rapp,3,3,111,Singer songwriter,0.5,2,3,None,"Explicit, fade out at 2:05",2024-07-07,Connie Wang
U Remind Me - Recorded at Spotify Studios NYC,James TW,U Remind Me - Recorded at Spotify Studios NYC.James TW,3,2,97,"Singer songwriter, Covers",0.9,2,5,Falling,,2024-07-07,Connie Wang
Ich kenne nichts (das so schön ist wie du) - Radio-Edit,"Xavier Naidoo,RZA","Ich kenne nichts (das so schön ist wie du) - Radio-Edit.Xavier Naidoo,RZA",2,2,88,"Late night, Non-english",0.2,2,2,None,"Fade in at 0:24, end at 5:25",2024-07-07,Connie Wang
shut up,Greyson Chance,shut up.Greyson Chance,2,3,105,Pop,0.4,1,4,Rising,,2024-07-07,Connie Wang
Momma Always Told Me (feat. Stanaj & Yung Bae) - Matoma Funk Remix,"Mike Posner,Matoma,Stanaj,Yung Bae","Momma Always Told Me (feat. Stanaj & Yung Bae) - Matoma Funk Remix.Mike Posner,Matoma,Stanaj,Yung Bae",3,4,108,Funk pop,0.3,1,3,Rising,Explicit,2024-07-07,Connie Wang
No Scrubs,TLC,No Scrubs.TLC,3,3,93,"Throwback, R&B",0.4,2,5,None,Explicit (lightly),2024-07-07,Connie Wang
唯一remix,李宜柏PAULYBLEE,唯一remix.李宜柏PAULYBLEE,2,2,95,"Singer songwriter, Non-english",0.8,1,4,None,Officially Missing You guitar riff,2024-07-07,Connie Wang
Do I Wanna Know,"A Girl Named Sue,JPL,Tora","Do I Wanna Know.A Girl Named Sue,JPL,Tora",2,3,90,"Pop, Covers",0.4,1,3,Rising,,2024-07-07,Connie Wang
BIRDS OF A FEATHER,Billie Eilish,BIRDS OF A FEATHER.Billie Eilish,3,3,105,Pop,0.2,2,4,None,,2024-07-07,Connie Wang
Like That,"GRACEY,Alexander 23","Like That.GRACEY,Alexander 23",3,4,114,Pop,0.4,2,2,Rising,,2024-07-07,Connie Wang
Burn the House Down,AJR,Burn the House Down.AJR,3,3,92,Electropop,0.3,2,2,None,"Explicit, Swing vibes",2024-07-07,Connie Wang
Like I Do,J.Tajor,Like I Do.J.Tajor,2,3,105,"Singer songwriter, R&B",0.6,1,2,Rising,,2024-07-07,Connie Wang
Come On Get Higher,Matt Nathanson,Come On Get Higher.Matt Nathanson,3,2,92,"Throwback, Singer songwriter",0.8,1,5,Falling,,2024-07-07,Connie Wang
Light On,Maggie Rogers,Light On.Maggie Rogers,3,3,102,Singer songwriter,0.5,2,3,None,,2024-07-07,Connie Wang
Next Big Thing,West Rose,Next Big Thing.West Rose,4,4,104,Baddie pop,0.4,3,2,None,,2024-07-07,Connie Wang
Case Of The Ex (Whatcha Gonna Do),Mýa,Case Of The Ex (Whatcha Gonna Do).Mýa,3,3,98,"Throwback, R&B",0.4,3,4,None,Explicit (lightly),2024-07-07,Connie Wang
Coffee,Billy Raffoul,Coffee.Billy Raffoul,3,2,93,Singer songwriter,0.9,1,2,Falling,,2024-07-07,Connie Wang
Run Your Mouth,The Marías,Run Your Mouth.The Marías,2,3,111,Funk pop,0.4,2,2,Rising,,2024-07-07,Connie Wang
Therefore I Am,Billie Eilish,Therefore I Am.Billie Eilish,3,3,94,Pop,0.2,1,4,None,,2024-07-07,Connie Wang
Do Me Like A Drug,Emmanuel Franco,Do Me Like A Drug.Emmanuel Franco,3,3,107,Funk pop,0.4,1,5,None,,2024-07-07,Connie Wang
Another Love,Blush'ko,Another Love.Blush'ko,2,3,97,Electropop,0.2,3,4,Rising,,2024-07-07,Connie Wang
Green Tea & Honey,"Dane Amar,Jereena Montemayor","Green Tea & Honey.Dane Amar,Jereena Montemayor",2,2,95,"Singer songwriter, R&B",1.0,1,3,None,End at 3:37,2024-07-07,Connie Wang
Toxic,GIVVEN,Toxic.GIVVEN,2,3,112,"Electropop, Covers",0.1,3,3,Rising,Fade out at 3:37,2024-07-07,Connie Wang
What It Is (Solo Version),Doechii,What It Is (Solo Version).Doechii,3,3,86,"Rap, Baddie pop",0.6,2,3,None,Explicit,2024-07-07,Connie Wang
Un Deux Trois,MUNYA,Un Deux Trois.MUNYA,3,4,117,"Pop, Non-english",0.2,3,2,Rising,,2024-07-07,Connie Wang
Pray For Me (with Kendrick Lamar),"The Weeknd,Kendrick Lamar","Pray For Me (with Kendrick Lamar).The Weeknd,Kendrick Lamar",3,3,101,"Baddie pop, Rap",0.3,2,4,None,,2024-07-07,Connie Wang
Watermelon Sugar - Spotify Singles,Emei,Watermelon Sugar - Spotify Singles.Emei,2,3,104,"Singer songwriter, Covers",0.4,3,4,Rising,,2024-07-07,Connie Wang
Little Lover (TEEMID Remix),Nick Broadhurst,Little Lover (TEEMID Remix).Nick Broadhurst,2,2,99,Late night,0.3,2,2,None,,2024-07-07,Connie Wang
My Kink Is Karma,Chappell Roan,My Kink Is Karma.Chappell Roan,3,3,87,"Pop, Rock",0.4,2,2,None,Clean but inappropriate?,2024-07-07,Connie Wang
Around My Neck,FINNEAS,Around My Neck.FINNEAS,3,3,107,Baddie pop,0.3,1,3,None,,2024-07-07,Connie Wang
SexyBack,"Ilkan Gunuc,Clara Stegall","SexyBack.Ilkan Gunuc,Clara Stegall",4,3,100,"Angry Cali Late Nite, Covers",0.1,3,3,Falling,"Mild Bollywood influence, Explicit",2024-07-07,Connie Wang
Roll Your Eyes,Chance Peña,Roll Your Eyes.Chance Peña,3,3,84,Baddie pop,0.6,2,2,None,Hard bridge,2024-07-07,Connie Wang
Goodies (feat. Petey Pablo),"Ciara,Petey Pablo","Goodies (feat. Petey Pablo).Ciara,Petey Pablo",3,3,104,Throwback,0.2,2,5,None,,2024-07-07,Connie Wang
Faded,Izzy Bizu,Faded.Izzy Bizu,3,3,107,Pop,0.4,3,4,None,,2024-07-07,Connie Wang
Bonafide (feat. Chiiild),"Emotional Oranges,Chiiild","Bonafide (feat. Chiiild).Emotional Oranges,Chiiild",2,3,98,R&B,0.5,1,3,Rising,,2024-07-07,Connie Wang
Details in the Fabric (feat. James Morrison),"Jason Mraz,James Morrison","Details in the Fabric (feat. James Morrison).Jason Mraz,James Morrison",2,1,90,Singer songwriter,0.8,2,5,Falling,Good last song,2024-07-07,Connie Wang
Butterflies,ASTN,Butterflies.ASTN,2,3,100,Late night,0.3,2,3,Rising,,2024-07-03,Connie Wang
Espresso,Sabrina Carpenter,Espresso.Sabrina Carpenter,3,3,104,Pop,0.1,1,4,None,,2024-07-03,Connie Wang
Coogi Sweater Nostalgia,MarcLo,Coogi Sweater Nostalgia.MarcLo,3,4,109,Rap,0.3,2,2,Rising,"Start at 0:07, Michael approved",2024-07-03,Connie Wang
Show Up,Aiza,Show Up.Aiza,3,3,86,Pop,0.4,1,2,None,,2024-07-03,Connie Wang
sun and moon,anees,sun and moon.anees,3,2,90,Singer songwriter,0.8,2,4,Falling,,2024-07-03,Connie Wang
Cleo's Mood,Jr. Walker & The All Stars,Cleo's Mood.Jr. Walker & The All Stars,3,3,107,Jazz blues,0.4,2,5,None,,2024-07-03,Connie Wang
Bad Girl,Sickick,Bad Girl.Sickick,2,3,99,Baddie pop,0.2,1,3,Rising,Clean version,2024-07-03,Connie Wang
Esther,"BAYNK,Tinashe","Esther.BAYNK,Tinashe",3,3,106,Electropop,0.2,2,3,None,,2024-07-03,Connie Wang
UP!,"Forrest Frank,Connor Price","UP!.Forrest Frank,Connor Price",3,3,120,Angry Cali Late Nite,0.5,2,2,None,Half time??,2024-07-03,Connie Wang
Come On Get Higher,Matt Nathanson,Come On Get Higher.Matt Nathanson,3,2,92,"Throwback, Singer songwriter",0.8,1,5,Falling,,2024-07-03,Connie Wang
Electric Feel,Ari Gumora,Electric Feel.Ari Gumora,2,2,86,"Electropop, Covers",0.2,2,3,None,,2024-07-03,Connie Wang
Stuck In My Head (feat. AJ Mitchell),"Captain Cuts,AJ Mitchell","Stuck In My Head (feat. AJ Mitchell).Captain Cuts,AJ Mitchell",2,3,102,Pop,0.2,1,4,Rising,,2024-07-03,Connie Wang
Figure 8,Maliibu N Helene,Figure 8.Maliibu N Helene,3,4,117,Angry Cali Late Nite,0.4,1,3,Rising,Clean version,2024-07-03,Connie Wang
Walk That Walk,"Bakermat,Nic Hanson","Walk That Walk.Bakermat,Nic Hanson",3,3,100,Funk pop,0.4,2,5,None,,2024-07-03,Connie Wang
Sugar Sweet,Benson Boone,Sugar Sweet.Benson Boone,3,3,85,Pop,0.3,2,2,None,,2024-07-03,Connie Wang
Written in the Sand,Old Dominion,Written in the Sand.Old Dominion,2,2,84,Country,0.7,2,3,None,,2024-07-03,Connie Wang
Black Coffee And Cigarettes,Mo Rodgers,Black Coffee And Cigarettes.Mo Rodgers,3,3,111,Oldies,0.8,1,5,None,,2024-07-03,Connie Wang
Move Me,Liyr,Move Me.Liyr,3,3,98,Late night,0.3,1,4,None,,2024-07-03,Connie Wang
Lottery (feat. LU KALA),"Latto,LU KALA","Lottery (feat. LU KALA).Latto,LU KALA",3,4,114,Pop,0.4,2,5,Rising,,2024-07-03,Connie Wang
Anybody Else,JP Saxe,Anybody Else.JP Saxe,3,3,76,Baddie pop,0.2,3,3,None,,2024-07-03,Connie Wang
Ignore Me,Betty Who,Ignore Me.Betty Who,3,2,102,Pop,0.6,1,4,Falling,,2024-07-03,Connie Wang
Times Square,Neon Dreams,Times Square.Neon Dreams,2,1,94,Drama pop,0.8,3,5,Falling,,2024-07-03,Connie Wang
Run Through Fire,Pink Sweat$,Run Through Fire.Pink Sweat$,1,2,86,Singer songwriter,1.0,1,2,Rising,,2024-07-03,Connie Wang
Hound Dog - The Voice Performance,Kylie Rothfield,Hound Dog - The Voice Performance.Kylie Rothfield,2,4,85,"Blues, Covers",0.8,1,5,Rising,,2024-07-03,Connie Wang
So Pretty,"Reyanna Maria,Tyga","So Pretty.Reyanna Maria,Tyga",4,4,94,"Baddie pop, Rap, Angry Cali Late Nite",0.1,2,2,None,Clean version (but it's still pretty inappropriate),2024-07-03,Connie Wang
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!.Chappell Roan",3,3,117,Pop,0.2,2,3,None,,2024-07-03,Connie Wang
"Jumpin', Jumpin'",Destiny's Child,"Jumpin', Jumpin'.Destiny's Child",4,4,89,"Throwback, R&B",0.4,3,5,None,End at 3:43,2024-07-03,Connie Wang
Jurass Finish First,Jurassic 5,Jurass Finish First.Jurassic 5,3,3,101,"Oldies, Rap",0.7,1,3,None,"Fade out at 3:28, Explicit",2024-07-03,Connie Wang
Never Again,"Ryan.B,AY楊佬叁","Never Again.Ryan.B,AY楊佬叁",2,2,96,"Singer songwriter, Non-english",0.8,2,2,None,,2024-07-03,Connie Wang
Au soleil - Souvenirs d'été,Marie-Flore,Au soleil - Souvenirs d'été.Marie-Flore,2,3,100,"Late night, Non-english",0.2,3,2,Rising,Very light latin beat,2024-07-03,Connie Wang
Cravin',"Stileto,Kendyle Paige","Cravin'.Stileto,Kendyle Paige",3,4,76,Angry Cali Late Nite,0.4,3,3,Rising,Fade out starting at 2:21,2024-07-03,Connie Wang
Ain't Too Proud To Beg,The Temptations,Ain't Too Proud To Beg.The Temptations,4,4,118,Oldies,0.7,2,5,None,,2024-07-03,Connie Wang
Magnets,"Disclosure,Lorde","Magnets.Disclosure,Lorde",3,3,92,Pop,0.1,1,4,None,,2024-07-03,Connie Wang
Rudimental,Mei Jun,Rudimental.Mei Jun,2,2,93,"Singer songwriter, R&B",0.8,1,2,None,Explicit,2024-07-03,Connie Wang
Under My Skin,Nate Smith,Under My Skin.Nate Smith,2,1,77,Country,0.8,3,2,Falling,,2024-07-03,Connie Wang
The Wire,Patrick Droney,The Wire.Patrick Droney,2,3,95,Pop,0.6,2,3,Rising,,2024-07-03,Connie Wang
crossed the line,Jessica Baio,crossed the line.Jessica Baio,3,4,110,"Electropop, Baddie pop",0.1,3,4,Rising,,2024-07-03,Connie Wang
My Trigger - Imad Royal Remix,"Miike Snow,Imad Royal","My Trigger - Imad Royal Remix.Miike Snow,Imad Royal",3,3,99,Electropop,0.0,3,3,None,Samba rhythm,2024-07-03,Connie Wang
Novacane,Frank Ocean,Novacane.Frank Ocean,3,2,94,R&B,0.3,2,4,Falling,Explicit,2024-07-03,Connie Wang
Bliss - Acoustic Version,Billy Raffoul,Bliss - Acoustic Version.Billy Raffoul,2,2,83,Singer songwriter,1.0,1,3,None,,2024-07-03,Connie Wang
Anxious,Dennis Lloyd,Anxious.Dennis Lloyd,2,3,101,Pop,0.7,2,2,Rising,,2024-07-03,Connie Wang
La Rua Madureira,"Bon Entendeur,Nino Ferrer","La Rua Madureira.Bon Entendeur,Nino Ferrer",3,3,102,"Electropop, Non-english",0.2,4,1,None,Latin rhythm,2024-07-03,Connie Wang
Caught Up,USHER,Caught Up.USHER,3,3,110,Throwback,0.4,1,5,None,,2024-07-03,Connie Wang
flowers & sex,"EMELINE,smle","flowers & sex.EMELINE,smle",3,2,85,"Late night, Baddie pop",0.3,2,3,Falling,Clean version (but it's still pretty inappropriate),2024-07-03,Connie Wang
SKINNY,Billie Eilish,SKINNY.Billie Eilish,2,1,70,Drama pop,0.7,4,3,Falling,Fade out at 3:31,2024-07-03,Connie Wang
Surrender,Daniel Johns,Surrender.Daniel Johns,2,3,94,Late night,0.4,2,3,Rising,,2024-07-03,Connie Wang
Fast Car (feat. Kina Grannis),Kina Grannis,Fast Car (feat. Kina Grannis).Kina Grannis,3,3,103,"Singer songwriter, Covers",1.0,1,5,None,,2024-07-03,Connie Wang
Let It Happen,Gracie Abrams,Let It Happen.Gracie Abrams,2,3,92,Drama pop,0.7,3,2,Rising,"Explicit, unpopular",2024-07-03,Connie Wang
Shivers,OSIS,Shivers.OSIS,2,2,76,Covers,0.9,2,4,None,Ends abruptly. Country feel,2024-07-03,Connie Wang
Please Please Please,Sabrina Carpenter,Please Please Please.Sabrina Carpenter,3,2,107,Pop,0.6,2,4,Falling,"Slight country twang, Explicit",2024-07-03,Connie Wang
Lost,Blake Rose,Lost.Blake Rose,3,3,95,Pop,0.2,1,5,None,,2024-07-03,Connie Wang
greedy,Tate McRae,greedy.Tate McRae,3,3,112,Baddie pop,0.3,3,4,None,Explicit,2024-07-03,Connie Wang
No Less,"SG Lewis,Louis Mattrs","No Less.SG Lewis,Louis Mattrs",2,3,92,"Late night, Electropop",0.1,2,4,Rising,Fade out at 3:32,2024-07-03,Connie Wang
Let There Be Drums,"Feder,UPSAHL","Let There Be Drums.Feder,UPSAHL",2,3,100,Electropop,0.2,3,4,Rising,,2024-07-03,Connie Wang
comethru,Jeremy Zucker,comethru.Jeremy Zucker,2,2,94,Singer songwriter,0.7,2,5,None,,2024-07-03,Connie Wang
Free Fallin' - Live at the Nokia Theatre,John Mayer,Free Fallin' - Live at the Nokia Theatre.John Mayer,1,2,86,"Singer songwriter, Covers",0.8,2,5,Rising,Fade out at 4:07,2024-07-03,Connie Wang
Butterflies,James TW,Butterflies.James TW,3,3,100,Pop,0.2,1,3,None,,2024-06-22,Connie Wang
Selfish,Jordan Davis,Selfish.Jordan Davis,3,2,90,Country,0.8,1,3,Falling,,2024-06-22,Connie Wang
Jealous,Ingrid Michaelson,Jealous.Ingrid Michaelson,3,3,97,Pop,0.3,2,4,None,,2024-06-22,Connie Wang
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,I Wanna Dance with Somebody (Who Loves Me).Whitney Houston,4,4,119,Oldies,0.6,2,5,None,Fade out at 3:45,2024-06-22,Connie Wang
Sure Thing,Miguel,Sure Thing.Miguel,3,3,81,R&B,0.4,2,5,None,,2024-06-22,Connie Wang
headlock,"Marshall,Lindsey Ray,Tep No","headlock.Marshall,Lindsey Ray,Tep No",3,3,96,Pop,0.3,2,2,None,,2024-06-22,Connie Wang
Spring With You (feat. 20 Years of Age),"Vanilla Acoustic,20 Years of Age","Spring With You (feat. 20 Years of Age).Vanilla Acoustic,20 Years of Age",2,2,91,"Singer songwriter, Non-english",0.9,1,2,None,,2024-06-22,Connie Wang
Glow,Susan H,Glow.Susan H,2,3,96,Pop,0.3,2,3,Rising,,2024-06-22,Connie Wang
Sanctify,Olly Alexander (Years & Years),Sanctify.Olly Alexander (Years & Years),3,3,102,Baddie pop,0.3,2,4,None,,2024-06-22,Connie Wang
Greedy,Ariana Grande,Greedy.Ariana Grande,3,4,110,"Funk pop, R&B",0.5,2,3,Rising,,2024-06-22,Connie Wang
贴贴,"胥睿,杨淳","贴贴.胥睿,杨淳",3,3,92,"Singer songwriter, Non-english",0.7,1,1,None,,2024-06-22,Connie Wang
Son of a Preacher Man,Dusty Springfield,Son of a Preacher Man.Dusty Springfield,2,3,91,Oldies,0.8,1,5,Rising,,2024-06-22,Connie Wang
Little Lover (TEEMID Remix),Nick Broadhurst,Little Lover (TEEMID Remix).Nick Broadhurst,2,2,99,Late night,0.3,2,2,None,,2024-06-22,Connie Wang
My Kink Is Karma,Chappell Roan,My Kink Is Karma.Chappell Roan,3,3,87,"Pop, Rock",0.4,2,2,None,Clean but inappropriate?,2024-06-22,Connie Wang
Genie in a Bottle,Oshri,Genie in a Bottle.Oshri,3,3,94,Covers,0.2,2,4,None,,2024-06-22,Connie Wang
"Piñata (feat. BIA, Kap G & Justin Quiles)","Vice,Kap G,Justin Quiles,BIA","Piñata (feat. BIA, Kap G & Justin Quiles).Vice,Kap G,Justin Quiles,BIA",4,4,100,"Pop, Rap",0.2,2,3,None,Explicit (lightly),2024-06-22,Connie Wang
Roll Your Eyes,Chance Peña,Roll Your Eyes.Chance Peña,3,3,84,Baddie pop,0.6,2,2,None,Hard bridge,2024-06-22,Connie Wang
U Remind Me - Recorded at Spotify Studios NYC,James TW,U Remind Me - Recorded at Spotify Studios NYC.James TW,3,2,97,"Singer songwriter, Covers",0.9,2,5,Falling,,2024-06-22,Connie Wang
Glass of Whisky,Sara Diamond,Glass of Whisky.Sara Diamond,2,2,84,R&B,0.5,2,4,None,,2024-06-22,Connie Wang
BIRDS OF A FEATHER,Billie Eilish,BIRDS OF A FEATHER.Billie Eilish,3,3,105,Pop,0.2,2,4,None,,2024-06-22,Connie Wang
911,Teddy Swims,911.Teddy Swims,3,3,99,R&B,0.4,1,4,None,Explicit (lightly),2024-06-22,Connie Wang
The Devil,BANKS,The Devil.BANKS,3,3,94,Baddie pop,0.2,2,3,None,,2024-06-22,Connie Wang
Si No Estás,iñigo quintero,Si No Estás.iñigo quintero,3,2,98,"Singer songwriter, Non-english",0.7,2,2,Falling,,2024-06-22,Connie Wang
Take Me Where Your Heart Is,Q,Take Me Where Your Heart Is.Q,2,2,90,R&B,0.5,1,3,None,,2024-06-22,Connie Wang
Stuck In My Head (feat. AJ Mitchell),"Captain Cuts,AJ Mitchell","Stuck In My Head (feat. AJ Mitchell).Captain Cuts,AJ Mitchell",2,3,102,Pop,0.2,1,4,Rising,,2024-06-22,Connie Wang
Baby Boy (feat. Sean Paul),"Beyoncé,Sean Paul","Baby Boy (feat. Sean Paul).Beyoncé,Sean Paul",3,3,91,"Throwback, Pop",0.4,1,5,None,,2024-06-22,Connie Wang
Trade it for the Night - Single Version,HAEVN,Trade it for the Night - Single Version.HAEVN,3,3,100,Late night,0.1,3,3,None,,2024-06-22,Connie Wang
Feel Good,Charlotte Cardin,Feel Good.Charlotte Cardin,3,4,111,"Late night, Non-english",0.3,3,2,Rising,,2024-06-22,Connie Wang
just the two of us,Avenue Beat,just the two of us.Avenue Beat,3,3,88,"Singer songwriter, Covers",0.6,1,3,None,,2024-06-22,Connie Wang
Cold War,Cautious Clay,Cold War.Cautious Clay,2,2,77,Late night,0.2,2,4,None,Explicit,2024-06-22,Connie Wang
Chariot,Mega,Chariot.Mega,2,3,92,"Singer songwriter, Soul",0.8,2,3,Rising,,2024-06-22,Connie Wang
Bad Vibrations,Jesper Jenset,Bad Vibrations.Jesper Jenset,3,3,98,Pop,0.3,1,3,None,Explicit,2024-06-22,Connie Wang
Wanted Man,Mat Kearney,Wanted Man.Mat Kearney,3,3,102,Country,0.8,2,4,None,,2024-06-22,Connie Wang
Lost,Blake Rose,Lost.Blake Rose,3,3,95,Pop,0.2,1,5,None,,2024-06-22,Connie Wang
Trip,Ella Mai,Trip.Ella Mai,2,1,80,R&B,0.5,2,5,Falling,Fade out at 3:20,2024-06-22,Connie Wang
Over-the-Ocean Call,Lizzy McAlpine,Over-the-Ocean Call.Lizzy McAlpine,2,2,92,Pop,0.8,2,3,None,,2024-06-22,Connie Wang
Save Us,Lennon Stella,Save Us.Lennon Stella,2,2,90,Pop,0.3,2,4,None,,2024-06-02,Connie Wang
Move Along,LOU'ANA,Move Along.LOU'ANA,3,3,103,Funk pop,0.6,1,4,None,,2024-06-02,Connie Wang
Flatline,Two Feet,Flatline.Two Feet,3,4,107,"Baddie pop, Electropop",0.2,2,3,Rising,,2024-06-02,Connie Wang
Power Move,Astrid S,Power Move.Astrid S,3,3,92,Pop,0.5,2,2,None,,2024-06-02,Connie Wang
Coffee,Billy Raffoul,Coffee.Billy Raffoul,3,2,93,Singer songwriter,0.9,1,2,Falling,,2024-06-02,Connie Wang
Whippin (feat. Felix Snow),"Kiiara,Felix Snow","Whippin (feat. Felix Snow).Kiiara,Felix Snow",2,2,83,Electropop,0.2,2,4,None,Explicit,2024-06-02,Connie Wang
Stand and Deliver,Patrick Droney,Stand and Deliver.Patrick Droney,2,3,89,Singer songwriter,0.6,1,5,Rising,,2024-06-02,Connie Wang
How Deep Is Your Love (feat. Yebba) - Live,"PJ Morton,Yebba","How Deep Is Your Love (feat. Yebba) - Live.PJ Morton,Yebba",3,3,93,"Oldies, Covers",0.9,1,4,None,Fade out early,2024-06-02,Connie Wang
"Piñata (feat. BIA, Kap G & Justin Quiles)","Vice,Kap G,Justin Quiles,BIA","Piñata (feat. BIA, Kap G & Justin Quiles).Vice,Kap G,Justin Quiles,BIA",4,4,100,"Pop, Rap",0.2,2,3,None,Explicit (lightly),2024-06-02,Connie Wang
Move Me,Liyr,Move Me.Liyr,3,3,98,Late night,0.3,1,4,None,,2024-06-02,Connie Wang
Guilty as Sin?,Taylor Swift,Guilty as Sin?.Taylor Swift,3,2,97,Pop,0.5,1,5,Falling,,2024-06-02,Connie Wang
In Between,whatever mike,In Between.whatever mike,2,3,90,Singer songwriter,0.4,2,3,Rising,,2024-06-02,Connie Wang
Still in da Disco - Maga Remix,"HEDEGAARD,Maga","Still in da Disco - Maga Remix.HEDEGAARD,Maga",4,3,93,"Electropop, Angry Cali Late Nite",0.1,3,2,Falling,,2024-06-02,Connie Wang
Activated,Cher Lloyd,Activated.Cher Lloyd,3,3,88,Pop,0.3,1,3,None,Explicit,2024-06-02,Connie Wang
Think it Over,New Constellations,Think it Over.New Constellations,3,4,110,Funk pop,0.4,2,2,Rising,,2024-06-02,Connie Wang
Pleasure (feat. RINI),"Abrina,RINI","Pleasure (feat. RINI).Abrina,RINI",3,2,90,R&B,0.4,2,2,Falling,,2024-06-02,Connie Wang
Stay With Me (Acoustic),Jake Coco,Stay With Me (Acoustic).Jake Coco,2,2,85,"Singer songwriter, Covers",1.0,1,5,None,,2024-06-02,Connie Wang
AFU,CAL,AFU.CAL,2,3,94,Pop,0.5,1,4,Rising,Explicit,2024-06-02,Connie Wang
Escapism.,"RAYE,070 Shake","Escapism..RAYE,070 Shake",3,3,96,Rap,0.1,2,3,None,"Explicit, Fade out at 3:30",2024-06-02,Connie Wang
SloMo,Chanel,SloMo.Chanel,3,3,105,"Pop, Non-english",0.2,3,3,None,Latin rhythm,2024-06-02,Connie Wang
Brain,Alia,Brain.Alia,3,3,90,Electropop,0.2,2,3,None,,2024-06-02,Connie Wang
If I Wrote You a Song,"Rubber Band,Grant Trammel","If I Wrote You a Song.Rubber Band,Grant Trammel",3,2,93,Singer songwriter,0.8,2,2,Falling,,2024-06-02,Connie Wang
Talia,King Princess,Talia.King Princess,2,2,91,Pop,0.4,3,4,None,,2024-06-02,Connie Wang
In and Out,Drax Project,In and Out.Drax Project,3,3,98,Funk pop,0.4,2,3,None,,2024-06-02,Connie Wang
Chuck Taylor,"Connor Price,SIRI","Chuck Taylor.Connor Price,SIRI",3,4,102,Angry Cali Late Nite,0.3,2,2,Rising,,2024-06-02,Connie Wang
Do Me Like A Drug,Emmanuel Franco,Do Me Like A Drug.Emmanuel Franco,3,3,107,Funk pop,0.4,1,5,None,,2024-06-02,Connie Wang
Her Diamonds,Rob Thomas,Her Diamonds.Rob Thomas,3,3,88,Throwback,0.4,2,4,None,Fade out at 3:55,2024-06-02,Connie Wang
Over-the-Ocean Call,Lizzy McAlpine,Over-the-Ocean Call.Lizzy McAlpine,2,2,92,Pop,0.8,2,3,None,,2024-06-02,Connie Wang
Levitating,Dua Lipa,Levitating.Dua Lipa,3,4,103,Pop,0.3,1,5,Rising,,2024-06-02,Connie Wang
