Artist,Song,notes,note_source
Usher,Show Me,2012-09-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Camila Cabello,Havana Ft Young Thug,2017-11-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Charlie Puth & Jung Kook,Left and Right,2022-06-01GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Fujiya and Miyagi,Uh,2011-07-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Marc E. Bassy,Morning,Top Picks: Koichi Tsunoda,GSDJ - https://proswingdjs.com/
Anthony Ramos,Thinking About You,Top Picks: Cher Peadon,GSDJ - https://proswingdjs.com/
Lloyd,Dedication To My Ex,2012-01-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
"Post Malone, Doja Cat",I Like You (A Happier Song),2022-06-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Pitbull ft. Ne-Yo & Afrojack,Give Me Everything,2011-05-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Heather Newman,Dirty Blues,2018-02-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Tuxedo,So Good,2017-02-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Robben Ford,Start It Up,GSDJ Top 25 Fast “Blues”,GSDJ - https://proswingdjs.com/
Dion,Katie Mae,2016-05-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Thomas Rhett,I Feel Good,2015-10-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Sly & Family Stone,I Want To Thank You,Top Picks: Cher Peadon,GSDJ - https://proswingdjs.com/
Justin Timberlake,Not A Bad Thing,2014-03-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
The Weeknd,Can’t Feel My Face,2015-07-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
AJR,Burn The House Down,2018-10-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Tyga,Rack City,Top Picks: Liz Ravdin,GSDJ - https://proswingdjs.com/
The Love Dogs,First Floor Girl,Top Picks: Bruno Bittencourt,GSDJ - https://proswingdjs.com/
Maroon 5 ft Christina Aguilera,Moves Like Jagger,2011-07-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Mabel,Mad Love,2019-09-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Lucas Grabeel,You Got It,2010-01-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Robin Thicke,Blurred Lines,2013-04-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Billie Black,I Don’t Need Another Lover,2014-08-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Little Mix Ft Kid Ink,Touch,2017-03-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Robert Cray Band,You Move Me,2014-05-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
"Sage the Gemini, DJ Lucci",Butter,Top Picks: Emily Huang,GSDJ - https://proswingdjs.com/
Nina Simone,My Baby Just Cares For Me,Top Picks: Aidan Keith-Hynes,GSDJ - https://proswingdjs.com/
Sabrina Carpenter,Espresso (Clean),2024-07-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Pentatonix,Can’t Sleep Love,2015-10-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
