Artist,Song,notes,note_source
Shakura S’aida,Geechee Woman,2012-09-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Ciara,Overdose,2014-02-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Chelsea Cutler,Your Shirt,Top Picks: Jalene Haramia,GSDJ - https://proswingdjs.com/
Vanotek ft. Enile,Back to Me,Top Picks: Donna Conley,GSDJ - https://proswingdjs.com/
Heritage Blues Orchestra,Don’t Ever Let Nobody Drag Your Spirits Down,2012-10-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Liam Payne,Bedroom Floor,2018-01-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Selena Gomez,Love You Like A Love Song,2012-01-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Maroon 5,Secret,Top Picks: Greg Wolf,GSDJ - https://proswingdjs.com/
Shawn Mendes,Lost In Japan [Zedd Rmx],2018-12-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
The Original 7ven,#Trendin,2011-11-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Dua Lupa,Don’t Start Now,2019-12-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Cappa,No Scrubs Ft Jon Santana,2016-01-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Steve Miller Band,Sweet Home Chicago,Top Picks: Chris Vand,GSDJ - https://proswingdjs.com/
Ke$ha,Blow,2010-11-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Adele,Oh My God,GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Chris Jamison,Jealous,2014-12-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Dua Lupa,Don’t Start Now,2020-02-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Leikeli47,Money,Top Picks: Isabelle Roy,GSDJ - https://proswingdjs.com/
Barbara Carr,I Need a Man Down My Chimney,2009-12-01Holiday themed list,GSDJ - https://proswingdjs.com/
Eartha Kitt,My Discarded Man,Top Picks: Chris Uren,GSDJ - https://proswingdjs.com/
Lauv,Feelings,Top Picks: Aidan Keith-Hynes,GSDJ - https://proswingdjs.com/
Maroon 5,Payphone (Clean Version),2012-07-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Lou Rawls,A Natural Man,Top Picks: Michael Lambert,GSDJ - https://proswingdjs.com/
Luke James,Expose (Clean),2014-10-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Lany,Ilysb (Stripped),Top Picks: DJ Josh Angel,GSDJ - https://proswingdjs.com/
Stephen Puth,Sexual Vibe [CLEAN],2019-03-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
"Post Malone, Doja Cat",I Like You (A Happier Song) (Clean),2022-07-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
"Kid Ink, Usher, Tinashe",Body Language,Top Picks: John Collini,GSDJ - https://proswingdjs.com/
Michael Bolton feat. Ne-Yo,Sign Your Name,2010-05-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Aaron Carpenter,Attitude,2019-06-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
John Legend,Tonight (Best You Never Had),2012-03-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Olivia Rodrigo,drivers license [Clean],Top Picks: Greg Wolf,GSDJ - https://proswingdjs.com/
Leela James,Music,Top Picks: Sam Ghaida,GSDJ - https://proswingdjs.com/
Meghan Trainor,Genetics,2019-09-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Pitbull ft. Ne-Yo & Afrojack,Give Me Everything,2011-04-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Sonny Tennet,Your Love Keeps Lifting Me Higher,Top Picks: Kerrin Pollock,GSDJ - https://proswingdjs.com/
Anuhea,Ultimate Insult (Acoustic),2012-06-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Colby O’Donis,Game For You,2010-10-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Liam Payne,Strip That Down,2017-08-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Marshmallo and Kane Brown,One Thing Right,Top Picks: Martin Lahmann,GSDJ - https://proswingdjs.com/
Who Is Fancy,Goodbye,2015-04-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Maty Nores,Lil’ Bit Wrong,2016-12-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Mullally,Vibe,Top Picks: Ruby Lair,GSDJ - https://proswingdjs.com/
iamnotshane,I’ve Been Nothing But Funny and Sexy To You,Top Picks: Emily Huang,GSDJ - https://proswingdjs.com/
Tinashe,All Hands On Deck,2014-11-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Far East Movement,Little Bird,2013-03-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Jason DeRulo Ft Jlo,Try Me (Ft Jlo),2015-07-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Katy Perry,Chained To The Rhythm,2017-02-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
"B.B. King, Tracy Chapman",The Thrill Is Gone,Top Picks: Greg Wolf,GSDJ - https://proswingdjs.com/
"Mac Miller, Andersan.Paak",Dang!,Top Picks: John Collini,GSDJ - https://proswingdjs.com/
Toploader,Dancing In The Moonlight,2012-05-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Kaci Brown,My Baby,2011-10-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Justin Bieber,Love Yourself,2015-12-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Ed Sheeran,I See Fire (Kygo Remix),GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Christine and the Queens,Christine,Top Picks: Isabelle Roy,GSDJ - https://proswingdjs.com/
Fergie,Tension,2017-10-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Khalid,Love Lies Ft Normani,2018-06-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Daft Punk,Get Lucky,2013-05-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
"Kyla La Grange, Kygo",Cut your Teeth,Top Picks: Tana Abeni,GSDJ - https://proswingdjs.com/
James Hunter,I’ll Walk Away,Top Picks: Emily Myers,GSDJ - https://proswingdjs.com/
Bill Pickney & The Drifters,Gonna Move Across the River,GSDJ Top 25 Fast “Blues”,GSDJ - https://proswingdjs.com/
Emmanuel Franco,Do Me Like A Drug,Top Picks: Ruby Lair,GSDJ - https://proswingdjs.com/
Black Pumas,Colors,Top Picks: Celina Nelson,GSDJ - https://proswingdjs.com/
Robin Thicke,Blurred Lines,2013-06-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Ghostland Observatory,Give Me The Beat,2011-06-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Madcon,Don’t Worry (Radio Version),2015-09-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Alex Vargas,More,2012-02-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Bruno Mars,24K Magic,2016-12-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Lou Rawls,A Natural Man,Top Picks: Bruno Bittencourt,GSDJ - https://proswingdjs.com/
John Mayer,Perfectly Lonely,2010-01-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Disclosure Ft Lorde,Magnets,2015-11-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
"Disclosure, Sam Smith",Omen (Radio Edit),Top Picks: Chris Vand,GSDJ - https://proswingdjs.com/
Marc Cohn,"Signed, Sealed Delivered",2011-03-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
The Weeknd,Starboy Ft Daft Punk,2016-10-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Alma Ft. Kiiara,Chit Chat,2018-02-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
DNCE Ft Nicki Minaj,Kissing Strangers,2017-05-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Timbaland ft. Keri Hilson,The Way I Are,Top Picks: Donna Conley,GSDJ - https://proswingdjs.com/
Karmin,I Want It All,2014-02-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Johnny ”Guitar” Watson,Gangster Of Love (1978 Version),Top Picks: Bruno Bittencourt,GSDJ - https://proswingdjs.com/
Ladi6,Like Water,2011-10-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Major Lazer,Cold Water Ft Justin Bieber,2016-09-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Matt Simons,Catch & Release (Deepend Rmx),2015-11-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Justin Bieber,What Do You Mean,2015-09-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Justin Bieber,Beauty And The Beat,2013-01-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
(Jarreau Vandal Remix) - Mahalia & Jarreau Vandal,Sober,Top Picks: Khayree Jones,GSDJ - https://proswingdjs.com/
Ed Sheeran & Justin Bieber,I Don’t Care,2019-05-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Grieves,On The Rocks,Top Picks: JAmes Atwill,GSDJ - https://proswingdjs.com/
Iggy Azalea Ft Jennifer Hudson,Trouble,2015-04-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Charlie Puth,Attention,2017-04-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Todrick Hall,Boys In The Ocean,2021-07-01GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Tinashe,2 On,2014-04-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Khalid,Outta My Head Ft John Mayer,2019-04-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Who Is Fancy,Goodbye,2015-03-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
R Kelly,You Are My World,2012-10-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Ben L’Oncle Soul,Soulman,2011-08-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Zolita,U Remind Me,GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Moya,Come and Get It,2013-08-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
ToveLo,Cool Girl,2016-09-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Fats Domino,Home USA,Top Picks: Thomas Friess,GSDJ - https://proswingdjs.com/
Robin Thicke,Compass or Map,2012-02-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Kelly Clarkson,Give Me One Reason,2015-04-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Jason Derulo,In My Head,2010-03-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
"Elderbrook, Rudimental",Something About You,2019-09-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Liam Payne,Strip That Down,2017-07-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Connor Duermit,Too Young,2019-11-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
"Odesza, Zyra",Say my Name,Top Picks: Martin Lahmann,GSDJ - https://proswingdjs.com/
Tinashe,All Hands On Deck,2014-10-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Cee Lo Green,"Bright Lights, Bigger City",2011-01-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Blush’Ko,Another Love,2019-09-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
LANY,ILYSB (STRIPPED),Top Picks: JAmes Atwill,GSDJ - https://proswingdjs.com/
Sam Smith,Love Me More,2022-05-01GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Thomas Rhett,Die A Happy Man,2016-04-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Sam Smith & Normani,Dancing With A Stranger,2019-01-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Salt-N-Pepa,Shoop,Top Picks: Isabelle Roy,GSDJ - https://proswingdjs.com/
Charlie Puth,River,2017-07-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Prince,How Come U Don’t Call Me,Top Picks: Chris Uren,GSDJ - https://proswingdjs.com/
BB King & Tracy Chapman,The Thrill is Gone,GSDJ Top 19 Slow “Blues” ,GSDJ - https://proswingdjs.com/
LANY,ILYSB (Stripped),Top Picks: Jalene Haramia,GSDJ - https://proswingdjs.com/
Michael Jackson,Love Never Felt So Good,2014-05-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
,Magic (Single Version) Kylie Minogue,2020-10-01GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Kurt Hunter,The Way You Make Me Feel,Top Picks: Chris Uren,GSDJ - https://proswingdjs.com/
Pretty Lights,Finally Moving,2011-11-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Tinashe,2 On,2014-03-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Boomkat,Runaway,2011-03-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Foster The People,Pumped Up Kicks,2011-09-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
"Sorta, Eldzhey",Aqua,Top Picks: Martin Lahmann,GSDJ - https://proswingdjs.com/
Bruno Mars,Moonshine,2012-12-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
"Jung Kook, Justin Timberlake",3D (Justin Timberlake Remix),2024-03-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Jack Harlow,Lovin On Me (Clean),2023-11-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Angela Johnson,I Don’t Mind,2015-05-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Lany,Thick and Thin,2019-02-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Grace VanderWaal,Waste my Time,2019-08-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Sam Smith,Stay With Me,2014-07-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Matt Wertz,5:19,2010-04-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Edward Maya,Stereo Love,2011-01-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Ed Sheeran,Beautiful People Ft Khalid,2019-07-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Teddy Swims,911,2022-02-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Elderbrook,"Capricorn (Live Acoustic, 104 bpm version)",Top Picks: Donna Conley,GSDJ - https://proswingdjs.com/
Drake,"Hold On, We’re Coming Home",2013-12-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Janet Jackson,No Sleeep,2015-06-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Luca Stricagnoli,Lose Yourself,Top Picks: Kaiano Levine,GSDJ - https://proswingdjs.com/
Hot Chelle Rae,Tonight Tonight,2011-07-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Ed Sheeran,Bloodstream,2014-09-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Ne-Yo,Cause I Said So,2011-01-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Kimberly Locke,Last Christmas,2009-12-01Holiday themed list,GSDJ - https://proswingdjs.com/
Ludacris,Coming Up,2012-01-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Keb Mo,The Itch,Top Picks: Kerrin Pollock,GSDJ - https://proswingdjs.com/
ZZ Ward,Put The Gun Down,2012-11-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Etta James,Baby What You Want Me To Do (Live),Top Picks: Bruno Bittencourt,GSDJ - https://proswingdjs.com/
"Justin Timberlake, Chris Stapleton",Say Something,Top Picks: Tana Abeni,GSDJ - https://proswingdjs.com/
Eklo,"Sugar, Honey",Top Picks: DJ Josh Angel,GSDJ - https://proswingdjs.com/
"Ed Sheeran, Paulo Londra & Dave",Nothing on You,Top Picks: Tana Abeni,GSDJ - https://proswingdjs.com/
Caro Emerald,Back It Up,2011-01-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Charlie Puth,In The Dark,2014-02-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
J.J. Grey & Mofro,On Fire,2011-05-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
"Leo Stannard, Frances",Gravity,Top Picks: DJ Josh Angel,GSDJ - https://proswingdjs.com/
Anthony Hamilton,Freedom,2013-02-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Portugal.The Man,Feel It Still (Medasin Remix),Top Picks: Donna Conley,GSDJ - https://proswingdjs.com/
Daft Punk,Get Lucky,2013-08-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Justin Robinett & Jocelyn,Somebody That I used to Know,2012-10-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
"Mark Ronson, Lucky Daye",Too Much,Top Picks: Cher Peadon,GSDJ - https://proswingdjs.com/
Keana Lede,Bouncin’ [CLEAN],2020-01-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Justin Nozuka,After Tonight,2009-11-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
N i G H T S,Tequila,Top Picks: Jalene Haramia,GSDJ - https://proswingdjs.com/
Melanie Fiona,Give It To Me Right, - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Lorde,Royals,2013-11-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
B.O.B. feat. Bruno Mars,Nothin’ On You,2010-04-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Dion,Tankul of Blues,2012-02-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Sean Hayes,Powerful Stuff,2012-02-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Blue,All Rise,Top Picks: Rob Baen,GSDJ - https://proswingdjs.com/
Juzzie Smith,Jammin’,2017-09-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Seal,I Can’t Stand The Rain, - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Marian Hill,Omg,2021-08-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Leikeli47,Money,Top Picks: DJ Josh Angel,GSDJ - https://proswingdjs.com/
Denita Gibbs,Joy,2014-01-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Mark Hummel,Creeper Returns,GSDJ Top 19 Slow “Blues” ,GSDJ - https://proswingdjs.com/
Why Don’t We,8 Letters,2018-12-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
LaTasha Lee & The Blackties,Can’t Walk Away,2022-02-01GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
DNCE,Cake By The Ocean,2016-01-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Matt Nathanson,Come On Get Higher,Top Picks: Sam Ghaida,GSDJ - https://proswingdjs.com/
The Vamps,Talk Later,2018-09-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Mya,Dash,2011-04-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Kiiara,Gold,2016-01-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Sam Smith,Diamonds,2020-09-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Merk & Tremont,Hands Up Ft. DNCE,2018-08-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Rita Ora,Your Song,2017-08-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Brandon & Leah,Showstopper,Top Picks: Celina Nelson,GSDJ - https://proswingdjs.com/
Marc Cohn,After Midnight,2011-04-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Taio Cruz,Break Your Heart,2010-04-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Janet Jackson,That’s The Way Love Goes,Top Picks: Ruby Lair,GSDJ - https://proswingdjs.com/
Naturally 7,Feel It (In The Air Tonight),Top Picks: DJ Josh Angel,GSDJ - https://proswingdjs.com/
Little Mix,Confetti,Top Picks: Celina Nelson,GSDJ - https://proswingdjs.com/
Fifth Harmony,Work From Home,2016-05-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Disclosure,Molecules,2015-12-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Boz Scaggs,Gone Baby Gone,2013-03-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Big Data,Dangerous (Oliver Remix),2015-07-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Bonnie Raitt,Take My Love With You,2012-09-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Usher,Crash,2016-08-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
B-Tribe,Sometimes,Top Picks: Ruby Lair,GSDJ - https://proswingdjs.com/
Shaun Escoffery,Aht Uh Mi Hed,Top Picks: Chris Uren,GSDJ - https://proswingdjs.com/
Khalid & Disclosure,Know Your Worth,Top Picks: Emily Myers,GSDJ - https://proswingdjs.com/
Drake,Passionfruit,2017-04-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Selena Gomez,Good For You,2015-06-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Jamie Foxx,I Don’t Need It, - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Billie Eilish,Bad Guy,2019-05-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Grant Knoche,INTRUSIVE THOUGHTS,Top Picks: Emily Huang,GSDJ - https://proswingdjs.com/
Robin Schultz,Sugar,2015-08-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Salt-N-Pepa,Shoop,Top Picks: JAmes Atwill,GSDJ - https://proswingdjs.com/
Tone Damli,40 Years,Top Picks: Bruno Bittencourt,GSDJ - https://proswingdjs.com/
LFMAO,Sexy and I Know It,2011-12-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Cunnie Williams,With or Without You,2010-06-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Jaheim,Ain’t Leavin Without You,2010-03-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
"Doja Cat, SZA",Kiss Me More (Clean),2021-06-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Jaheim,Ain’t Leaving Without You,Top Picks: Kerrin Pollock,GSDJ - https://proswingdjs.com/
Flo Rida,Sweet Sensation,2018-04-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
MiC Lowry,Frustrations,2018-10-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Bronze Whale,Let’s Go Walk,Top Picks: Celina Nelson,GSDJ - https://proswingdjs.com/
Robi Kahakalau,Give Me On Reason,2012-02-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Lauv & Troye Sivan,I’m So Tired,2019-01-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Olly Murs & Louisa Johnson,Unpredictable,2017-07-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Big Data,Dangerous (Oliver Remix),2015-01-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Shaggy,Good Times Roll,2012-01-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Betty Who,Taste,2018-12-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Brother Yusef,I Got the Blues,Top Picks: Chris Uren,GSDJ - https://proswingdjs.com/
Duwende,Billie Jean,2012-03-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Duckwrth,Tuesday,Top Picks: Khayree Jones,GSDJ - https://proswingdjs.com/
Justin Timberlake,Can’t Stop The Feeling (Ft. Dreamworks Cast),2016-05-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
The Jimmy Castor Bunch,Soul Serenade,Top Picks: Aidan Keith-Hynes,GSDJ - https://proswingdjs.com/
Robin Thicke,Blurred Lines,2013-08-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Lyn Lapid & Ruth B.,do you really?,2023-12-01GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Taylor Swift,invisible string,Top Picks: Michael Lambert,GSDJ - https://proswingdjs.com/
,Moves -Olly Murs Ft Snoop Dogg,2018-10-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Diana Krall,Temptation,Top Picks: Aidan Keith-Hynes,GSDJ - https://proswingdjs.com/
"Post Malone, Doja Cat",I Like You (A Happier Song) [Clean],GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Jordin Sparks & MILCK,Come Together,2021-03-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Flo Rida,Whistle,2012-07-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Adele,Rolling In the Deep,2011-05-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Bruno Mars,Versace On The Floor,2017-07-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Gare Du Nord,Marvin & Miles,Top Picks: Chris Uren,GSDJ - https://proswingdjs.com/
Sickick,Purple Grass,Top Picks: Liz Ravdin,GSDJ - https://proswingdjs.com/
Cameo Club,Contagious,2020-01-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
NKOTB,Don’t Turn Out The Lights,2011-06-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Alex Aiano,"34+35, Can’t Take My Eyes Off Of You, Hey There Delilah",Top Picks: Michael Lambert,GSDJ - https://proswingdjs.com/
Luke James,Expose (Clean),2014-11-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
"Timbaland, Keri Hilson, D.O.E.",The Way I Are,Top Picks: Kerrin Pollock,GSDJ - https://proswingdjs.com/
Adi Barar Band,Rock Me Baby,2019-05-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Prince,The Other Side of the Pillow,Top Picks: Donna Conley,GSDJ - https://proswingdjs.com/
Vallis Alps,Young,Top Picks: Koichi Tsunoda,GSDJ - https://proswingdjs.com/
The Knocks,Shades [Clean Version],2018-07-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Martin Sexton,Boom Sh-Boom,2010-09-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Drake,"Hold On, We’re Coming Home",2013-11-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Aloe Blacc,Love Is The Answer,2013-10-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Enrique Iglesias,Ring My Bells,Top Picks: Kerrin Pollock,GSDJ - https://proswingdjs.com/
Ne-Yo,Another Love Song,2017-09-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Guy Sebastian,Vesuvius,2017-11-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
